ts	proc	pid	state	local	remote
03:40:16.719	codex-acp	170101	ESTAB	10.2.0.2:47836	104.18.2.115:443
03:40:16.851	codex-acp	170101	ESTAB	10.2.0.2:47836	104.18.2.115:443
03:40:16.979	codex-acp	170101	ESTAB	10.2.0.2:47836	104.18.2.115:443
03:40:17.099	codex-acp	170101	ESTAB	10.2.0.2:47836	104.18.2.115:443
03:40:17.230	codex-acp	170101	ESTAB	10.2.0.2:47836	104.18.2.115:443
03:40:17.359	codex-acp	170101	ESTAB	10.2.0.2:47836	104.18.2.115:443
03:40:17.487	codex-acp	170101	ESTAB	10.2.0.2:47836	104.18.2.115:443
03:40:17.607	codex-acp	170101	ESTAB	10.2.0.2:47836	104.18.2.115:443
03:40:17.730	codex-acp	170101	ESTAB	10.2.0.2:47836	104.18.2.115:443
03:40:17.859	codex-acp	170101	ESTAB	10.2.0.2:47836	104.18.2.115:443
