ts	proc	pid	state	local	remote
03:43:31.960	codex-acp	173193	ESTAB	10.2.0.2:46962	104.18.2.115:443
03:43:32.076	codex-acp	173193	ESTAB	10.2.0.2:46962	104.18.2.115:443
03:43:32.183	codex-acp	173193	ESTAB	10.2.0.2:46962	104.18.2.115:443
03:43:32.297	codex-acp	173193	ESTAB	10.2.0.2:46962	104.18.2.115:443
03:43:32.412	codex-acp	173193	ESTAB	10.2.0.2:46962	104.18.2.115:443
03:43:32.527	codex-acp	173193	ESTAB	10.2.0.2:46962	104.18.2.115:443
03:43:32.642	codex-acp	173193	ESTAB	10.2.0.2:46962	104.18.2.115:443
03:43:32.751	codex-acp	173193	ESTAB	10.2.0.2:46962	104.18.2.115:443
03:43:32.866	codex-acp	173193	ESTAB	10.2.0.2:46962	104.18.2.115:443
03:43:32.981	codex-acp	173193	ESTAB	10.2.0.2:46962	104.18.2.115:443
03:43:33.097	codex-acp	173193	ESTAB	10.2.0.2:46962	104.18.2.115:443
03:43:33.213	codex-acp	173193	ESTAB	10.2.0.2:46962	104.18.2.115:443
03:43:33.434	codex-acp	173193	ESTAB	10.2.0.2:46998	104.18.3.115:443
03:43:33.548	codex-acp	173193	ESTAB	10.2.0.2:46998	104.18.3.115:443
03:43:33.662	codex-acp	173193	ESTAB	10.2.0.2:46998	104.18.3.115:443
03:43:33.778	codex-acp	173193	ESTAB	10.2.0.2:46998	104.18.3.115:443
03:43:33.883	codex-acp	173193	ESTAB	10.2.0.2:46998	104.18.3.115:443
03:43:33.998	codex-acp	173193	ESTAB	10.2.0.2:46998	104.18.3.115:443
03:43:34.114	codex-acp	173193	ESTAB	10.2.0.2:46998	104.18.3.115:443
03:43:34.227	codex-acp	173193	ESTAB	10.2.0.2:46998	104.18.3.115:443
03:43:34.343	codex-acp	173193	ESTAB	10.2.0.2:46998	104.18.3.115:443
03:43:34.562	codex-acp	173193	ESTAB	10.2.0.2:48580	104.18.2.115:443
03:43:34.678	codex-acp	173193	ESTAB	10.2.0.2:48580	104.18.2.115:443
03:43:34.793	codex-acp	173193	ESTAB	10.2.0.2:48580	104.18.2.115:443
03:43:34.907	codex-acp	173193	ESTAB	10.2.0.2:48580	104.18.2.115:443
03:43:35.014	codex-acp	173193	ESTAB	10.2.0.2:48580	104.18.2.115:443
03:43:35.131	codex-acp	173193	ESTAB	10.2.0.2:48580	104.18.2.115:443
03:43:35.245	codex-acp	173193	ESTAB	10.2.0.2:48580	104.18.2.115:443
03:43:35.363	codex-acp	173193	ESTAB	10.2.0.2:48580	104.18.2.115:443
03:43:35.477	codex-acp	173193	ESTAB	10.2.0.2:48580	104.18.2.115:443
03:43:35.583	codex-acp	173193	ESTAB	10.2.0.2:48580	104.18.2.115:443
03:43:35.698	codex-acp	173193	ESTAB	10.2.0.2:48580	104.18.2.115:443
