ts	proc	pid	state	local	remote
03:39:29.529	codex-acp	168846	ESTAB	10.2.0.2:48252	104.18.2.115:443
03:39:29.644	codex-acp	168846	ESTAB	10.2.0.2:48252	104.18.2.115:443
03:39:29.765	codex-acp	168846	ESTAB	10.2.0.2:48252	104.18.2.115:443
03:39:29.879	codex-acp	168846	ESTAB	10.2.0.2:48252	104.18.2.115:443
03:39:29.986	codex-acp	168846	ESTAB	10.2.0.2:48252	104.18.2.115:443
03:39:30.101	codex-acp	168846	ESTAB	10.2.0.2:48252	104.18.2.115:443
03:39:30.217	codex-acp	168846	ESTAB	10.2.0.2:48252	104.18.2.115:443
03:39:30.332	codex-acp	168846	ESTAB	10.2.0.2:48252	104.18.2.115:443
03:39:30.447	codex-acp	168846	ESTAB	10.2.0.2:48252	104.18.2.115:443
03:39:30.677	codex-acp	168846	ESTAB	10.2.0.2:44648	104.18.3.115:443
03:39:30.792	codex-acp	168846	ESTAB	10.2.0.2:44648	104.18.3.115:443
03:39:30.910	codex-acp	168846	ESTAB	10.2.0.2:44648	104.18.3.115:443
03:39:31.026	codex-acp	168846	ESTAB	10.2.0.2:44648	104.18.3.115:443
03:39:31.132	codex-acp	168846	ESTAB	10.2.0.2:44648	104.18.3.115:443
03:39:31.247	codex-acp	168846	ESTAB	10.2.0.2:44648	104.18.3.115:443
03:39:31.361	codex-acp	168846	ESTAB	10.2.0.2:44648	104.18.3.115:443
03:39:31.479	codex-acp	168846	ESTAB	10.2.0.2:44648	104.18.3.115:443
03:39:31.594	codex-acp	168846	ESTAB	10.2.0.2:44648	104.18.3.115:443
03:39:31.825	codex-acp	168846	ESTAB	10.2.0.2:48256	104.18.2.115:443
03:39:31.939	codex-acp	168846	ESTAB	10.2.0.2:48256	104.18.2.115:443
03:39:32.057	codex-acp	168846	ESTAB	10.2.0.2:48256	104.18.2.115:443
03:39:32.172	codex-acp	168846	ESTAB	10.2.0.2:48256	104.18.2.115:443
03:39:32.278	codex-acp	168846	ESTAB	10.2.0.2:48256	104.18.2.115:443
03:39:32.393	codex-acp	168846	ESTAB	10.2.0.2:48256	104.18.2.115:443
03:39:32.508	codex-acp	168846	ESTAB	10.2.0.2:48256	104.18.2.115:443
03:39:32.624	codex-acp	168846	ESTAB	10.2.0.2:48256	104.18.2.115:443
03:39:32.739	codex-acp	168846	ESTAB	10.2.0.2:48256	104.18.2.115:443
03:39:32.849	codex-acp	168846	ESTAB	10.2.0.2:48256	104.18.2.115:443
03:39:33.081	codex-acp	168846	ESTAB	10.2.0.2:48266	104.18.2.115:443
03:39:33.196	codex-acp	168846	ESTAB	10.2.0.2:48266	104.18.2.115:443
03:39:33.310	codex-acp	168846	ESTAB	10.2.0.2:48266	104.18.2.115:443
03:39:33.415	codex-acp	168846	ESTAB	10.2.0.2:48266	104.18.2.115:443
03:39:33.540	codex-acp	168846	ESTAB	10.2.0.2:48266	104.18.2.115:443
03:39:33.655	codex-acp	168846	ESTAB	10.2.0.2:48266	104.18.2.115:443
03:39:33.769	codex-acp	168846	ESTAB	10.2.0.2:48266	104.18.2.115:443
03:39:33.884	codex-acp	168846	ESTAB	10.2.0.2:48266	104.18.2.115:443
03:39:33.990	codex-acp	168846	ESTAB	10.2.0.2:48266	104.18.2.115:443
03:39:34.106	codex-acp	168846	ESTAB	10.2.0.2:48266	104.18.2.115:443
