Cannot get singleton model of type "warp::local_control::bridge::LocalControlBridge" that was never registered	ai::blocklist::history_model::tests::assign_run_id_for_conversation_discards_stale_remote_placeholder_for_same_run_id
Cannot get singleton model of type "warp::local_control::bridge::LocalControlBridge" that was never registered	ai::blocklist::history_model::tests::test_find_by_token_returns_none_after_remove_conversation
Cannot get singleton model of type "warp::local_control::bridge::LocalControlBridge" that was never registered	ai::blocklist::history_model::tests::test_remove_child_conversation_cleans_parent_index
Cannot get singleton model of type "warp::local_control::bridge::LocalControlBridge" that was never registered	ai::blocklist::history_model::tests::test_remove_parent_conversation_cleans_incoming_and_outgoing_index_entries
Cannot get singleton model of type "warp::local_control::bridge::LocalControlBridge" that was never registered	ai::blocklist::orchestration_event_streamer::tests::sse_placeholder_then_local_launch_converges_on_one_conversation
Cannot get singleton model of type "warp::local_control::bridge::LocalControlBridge" that was never registered	ai::blocklist::queued_query::tests::delete_conversation_clears_in_flight_command
Cannot get singleton model of type "warp::local_control::bridge::LocalControlBridge" that was never registered	ai::blocklist::queued_query::tests::delete_conversation_drops_only_that_conversation_state
assertion failed: !AISettings::as_ref(ctx).execution_profiles.is_value_explicitly_set()	ai::execution_profiles::profiles::tests::auth_completion_waits_for_cloud_initial_load_before_migrating
expected is_byo_api_key_enabled to be false for anonymous Firebase users even with SoloUserByok enabled	ai::request_usage_model::tests::test_byo_api_key_disabled_for_anonymous_firebase_user
Failed to open file: Os { code: 2, kind: NotFound, message: "No such file or directory" }	server::telemetry::tests::test_persist_events_doesnt_include_ugc_events
assertion `left == right` failed: ---- Expected ----	terminal::input::decorations::tests::test_decorations_with_multibyte_chars
assertion `left == right` failed	terminal::input::tests::test_histignorespace_support_in_zsh
Cannot get singleton model of type "warp::local_control::bridge::LocalControlBridge" that was never registered	terminal::input::tests::test_new_conversation_keybinding_does_not_require_confirmation_in_empty_agent_view
Cannot get singleton model of type "warp::local_control::bridge::LocalControlBridge" that was never registered	terminal::view::tests::agent_view_lifecycle_updates_input_mode
Cannot get singleton model of type "warp::local_control::bridge::LocalControlBridge" that was never registered	terminal::view::tests::clear_buffer_action_in_fullscreen_agent_view_starts_new_conversation
Cannot get singleton model of type "warp::local_control::bridge::LocalControlBridge" that was never registered	terminal::view::tests::ctrl_c_buffer_clear_then_exit_requires_three_presses_in_agent_view
Cannot get singleton model of type "warp::local_control::bridge::LocalControlBridge" that was never registered	terminal::view::tests::ctrl_c_exit_agent_view_requires_confirmation
Cannot get singleton model of type "warp::local_control::bridge::LocalControlBridge" that was never registered	terminal::view::tests::exiting_agent_view_removes_empty_conversations
Cannot get singleton model of type "warp::local_control::bridge::LocalControlBridge" that was never registered	terminal::view::tests::inline_agent_view_exits_when_tagged_in_long_running_command_is_tagged_out
Cannot get singleton model of type "warp::local_control::bridge::LocalControlBridge" that was never registered	terminal::view::tests::linear_deeplink_does_not_auto_submit_when_already_in_agent_view
Cannot get singleton model of type "warp::local_control::bridge::LocalControlBridge" that was never registered	terminal::view::tests::linear_deeplink_via_default_entrypoint_does_not_auto_submit_in_fullscreen
Cannot get singleton model of type "warp::local_control::bridge::LocalControlBridge" that was never registered	terminal::view::tests::terminal_action_ctrl_c_exit_agent_view_requires_confirmation
assertion `left == right` failed	workspace::view::tests::test_tools_panel_preferences_activate_after_signup_and_ai_enablement
