epoch	n_rustc	sum_rss_mb	max_rss_mb	max_crate	avail_mb	swap_used_mb
1788996914	0	17152	16098	?	22004	509
1788996924	8	19121	16098	?	20127	509
1788996934	6	18812	16098	?	20324	509
1788996946	7	18480	16098	?	20701	509
1788996956	6	19214	16098	?	19915	509
1788996966	7	20132	16098	?	19464	509
1788996978	7	19498	16098	?	19799	509
1788996988	7	18823	16098	?	20454	509
1788996998	7	19138	16098	?	20093	509
1788997010	5	18952	16098	?	20174	508
1788997020	7	20127	16098	?	19481	508
1788997030	5	19856	16098	?	19603	508
1788997043	5	19645	16098	?	19773	508
1788997053	5	20257	16098	?	19005	508
1788997063	7	19467	16098	?	19611	508
1788997073	1	18401	16098	?	20173	508
1788997085	8	20643	16098	?	19353	508
1788997095	8	22000	16098	?	18600	508
1788997105	8	21756	16098	?	18564	508
1788997117	8	22271	16098	?	17423	508
1788997127	7	22222	16098	?	17716	508
1788997137	8	21963	16098	?	18240	508
1788997149	8	21391	16098	?	18879	508
