epoch	n_rustc	sum_rss_mb	max_rss_mb	max_crate	avail_mb	swap_used_mb
1788997197	7	2391	728	warpui	19769	508
1788997207	7	1952	784	warpui	20142	508
1788997219	7	2888	842	tantivy	19314	508
1788997229	7	2418	877	tantivy	19685	508
1788997239	7	3287	911	tantivy	19355	508
1788997251	7	2888	718	tantivy	19519	508
1788997261	7	2670	879	mcp	19896	508
1788997271	1	1514	1514	warp	20212	508
1788997283	1	2786	2786	warp	19332	508
1788997294	1	3301	3301	warp	19027	508
1788997304	1	3894	3894	warp	18569	508
1788997316	1	4548	4548	warp	17945	508
1788997326	1	5144	5144	warp	17326	508
1788997336	1	5727	5727	warp	16757	508
1788997346	1	6048	6048	warp	16442	508
1788997358	1	6466	6466	warp	16035	508
1788997368	1	6824	6824	warp	15692	508
1788997378	1	7416	7416	warp	15092	502
1788997390	1	7803	7803	warp	14732	502
1788997400	1	8031	8031	warp	14527	504
1788997410	1	8448	8448	warp	14122	504
1788997422	1	8834	8834	warp	13720	504
1788997432	1	10138	10138	warp	12450	504
1788997442	1	11913	11913	warp	11064	947
1788997454	1	13082	13082	warp	9966	1115
1788997464	1	13418	13418	warp	9597	1165
1788997474	1	13769	13769	warp	9202	1215
1788997484	1	14454	14454	warp	8456	1239
1788997496	1	14975	14975	warp	8198	1261
1788997506	1	6634	6634	warp	15471	1261
1788997516	1	5039	5039	warp	17016	1261
