epoch	n_rustc	sum_rss_mb	max_rss_mb	max_crate	avail_mb	swap_used_mb
1788999270	0	0	0	-	38301	406
1788999280	1	2172	2172	warp	36241	406
1788999290	1	2957	2957	warp	35714	406
1788999302	1	3625	3625	warp	35124	406
1788999312	1	4349	4349	warp	34399	406
1788999322	1	5035	5035	warp	33700	404
1788999332	1	5722	5722	warp	33028	404
1788999344	1	6090	6090	warp	32693	404
1788999354	1	6526	6526	warp	32183	404
1788999364	1	7211	7211	warp	31587	404
1788999376	1	7761	7761	warp	30922	404
1788999386	1	8024	8024	warp	30726	404
1788999396	1	8487	8487	warp	30282	404
1788999409	1	8821	8821	warp	29981	404
1788999419	1	10777	10777	warp	27850	404
1788999429	1	12667	12667	warp	25937	404
1788999441	1	13935	13935	warp	24575	404
1788999451	1	14280	14280	warp	24098	404
1788999461	1	14726	14726	warp	23261	404
1788999473	1	15587	15587	warp	22795	404
1788999483	1	7546	7546	warp	29687	404
1788999493	1	6392	6392	warp	31095	404
1788999503	1	4427	4427	warp	33053	404
1788999515	1	9203	9203	warp	28150	404
1788999525	1	9935	9935	warp	27882	404
1788999535	1	10386	10386	warp	27502	404
1788999547	1	11195	11195	warp	26697	404
1788999557	1	10430	10430	warp	26959	404
1788999567	1	10791	10791	warp	26927	404
1788999580	1	10814	10814	warp	26941	404
1788999590	1	11174	11174	warp	26761	404
1788999600	1	12210	12210	warp	25708	404
1788999612	1	9581	9581	warp	27981	404
1788999622	1	5463	5463	warp	31969	404
1788999632	1	3536	3536	warp	34225	404
1788999642	5	1147	422	integration	37463	404
