epoch	n_rustc	sum_rss_mb	max_rss_mb	max_crate	avail_mb	swap_used_mb
1789000435	0	0	0	-	38192	402
1789000445	1	2604	2604	warp	35907	401
1789000455	1	3098	3098	warp	35558	401
1789000465	1	3688	3688	warp	34968	401
1789000478	1	4501	4501	warp	34173	401
1789000488	1	5231	5231	warp	33460	401
1789000498	1	5875	5875	warp	32816	401
1789000510	1	6165	6165	warp	32541	401
1789000520	1	6543	6543	warp	32184	401
1789000530	1	7337	7337	warp	31413	401
1789000542	1	7808	7808	warp	30857	401
1789000552	1	8046	8046	warp	30655	401
1789000562	1	8691	8691	warp	30046	401
1789000574	1	9551	9551	warp	29136	401
1789000584	1	11459	11459	warp	27156	401
1789000594	1	13468	13468	warp	25075	401
1789000607	1	14268	14268	warp	24046	401
1789000617	1	14582	14582	warp	23612	401
1789000627	1	14978	14978	warp	23258	401
1789000637	1	11620	11620	warp	25861	401
1789000649	1	6905	6905	warp	30579	401
1789000659	1	5073	5073	warp	32435	401
1789000669	1	8811	8811	warp	28932	401
1789000681	1	9729	9729	warp	27883	401
1789000692	1	10338	10338	warp	27574	401
1789000702	1	10988	10988	warp	27001	401
1789000714	1	10502	10502	warp	26914	401
1789000724	1	11123	11123	warp	26416	401
1789000734	1	10775	10775	warp	26740	401
1789000747	1	11023	11023	warp	26721	401
1789000757	1	12130	12130	warp	25859	401
1789000767	1	10458	10458	warp	27157	401
1789000777	1	6572	6572	warp	30783	401
1789000789	1	3624	3624	warp	33915	401
1789000799	1	3792	3792	warp	34122	401
