epoch	n_rustc	sum_rss_mb	max_rss_mb	max_crate	avail_mb	swap_used_mb
1789000909	0	0	0	-	38172	400
1789000911	1	1122	1122	warp	37182	400
1789000913	1	1633	1633	warp	36693	400
1789000915	1	1942	1942	warp	36421	400
1789000919	1	2268	2268	warp	36038	400
1789000921	1	2649	2649	warp	35905	400
1789000923	1	2779	2779	warp	35794	400
1789000925	1	2798	2798	warp	35779	400
1789000927	1	2853	2853	warp	35774	400
1789000929	1	3009	3009	warp	35659	400
1789000931	1	3202	3202	warp	35481	400
1789000933	1	3238	3238	warp	35444	400
1789000935	1	3355	3355	warp	35335	400
1789000937	1	3491	3491	warp	35201	400
1789000939	1	3627	3627	warp	35070	400
1789000941	1	3737	3737	warp	34964	400
1789000943	1	3902	3902	warp	34805	400
1789000945	1	4032	4032	warp	34672	400
1789000948	1	4214	4214	warp	34488	400
1789000950	1	4365	4365	warp	34349	400
1789000954	1	4529	4529	warp	34193	400
1789000956	1	4659	4659	warp	34062	400
1789000958	1	4790	4790	warp	33914	400
1789000960	1	4910	4910	warp	33808	400
1789000962	1	5076	5076	warp	33639	400
1789000964	1	5241	5241	warp	33472	400
1789000966	1	5383	5383	warp	33323	400
1789000968	1	5526	5526	warp	33183	400
1789000970	1	5690	5690	warp	33021	400
1789000972	1	5800	5800	warp	32918	400
1789000974	1	5876	5876	warp	32836	400
1789000976	1	5966	5966	warp	32736	400
1789000978	1	6020	6020	warp	32703	400
1789000980	1	6084	6084	warp	32630	400
1789000982	1	6111	6111	warp	32615	400
1789000984	1	6162	6162	warp	32577	400
1789000989	1	6240	6240	warp	32497	400
1789000991	1	6421	6421	warp	32256	400
1789000993	1	6474	6474	warp	32256	400
1789000995	1	6520	6520	warp	32223	400
1789000997	1	6537	6537	warp	32208	400
1789000999	1	6557	6557	warp	32189	400
1789001001	1	6816	6816	warp	31944	400
1789001003	1	7049	7049	warp	31700	400
1789001005	1	7201	7201	warp	31559	400
1789001007	1	7295	7295	warp	31453	400
1789001009	1	7388	7388	warp	31377	400
1789001011	1	7507	7507	warp	31196	400
1789001013	1	7581	7581	warp	31109	400
1789001015	1	7747	7747	warp	30945	400
1789001017	1	7780	7780	warp	30945	400
1789001019	1	7821	7821	warp	30928	400
1789001024	1	7925	7925	warp	30782	400
1789001026	1	7951	7951	warp	30782	400
1789001028	1	7998	7998	warp	30758	400
1789001030	1	8030	8030	warp	30737	400
1789001032	1	8050	8050	warp	30718	400
1789001034	1	8103	8103	warp	30656	400
1789001036	1	8296	8296	warp	30413	400
1789001038	1	8442	8442	warp	30298	400
1789001040	1	8547	8547	warp	30198	400
1789001042	1	8696	8696	warp	30040	400
1789001044	1	8701	8701	warp	30010	400
1789001046	1	8870	8870	warp	29888	400
1789001048	1	8800	8800	warp	29997	400
1789001050	1	9109	9109	warp	29692	400
1789001052	1	9679	9679	warp	28964	400
1789001054	1	10073	10073	warp	28554	400
1789001058	1	10348	10348	warp	28341	400
1789001060	1	10799	10799	warp	27893	400
1789001062	1	11172	11172	warp	27532	400
1789001064	1	11521	11521	warp	27184	400
1789001066	1	12062	12062	warp	26627	400
1789001069	1	12360	12360	warp	26293	400
1789001071	1	12828	12828	warp	25801	400
1789001073	1	13183	13183	warp	25462	400
1789001075	1	13269	13269	warp	25291	400
1789001077	1	13699	13699	warp	24866	400
1789001079	1	13956	13956	warp	24614	400
1789001081	1	14501	14501	warp	24098	400
1789001083	1	13485	13485	warp	24826	400
1789001085	1	13805	13805	warp	24542	400
1789001087	1	14144	14144	warp	24259	400
1789001089	1	14318	14318	warp	24155	400
1789001093	1	14242	14242	warp	24017	400
1789001095	1	14266	14266	warp	24066	400
1789001097	1	14176	14176	warp	24110	400
1789001099	1	14473	14473	warp	23848	400
1789001101	1	14842	14842	warp	23474	400
1789001104	1	14941	14941	warp	23303	400
1789001106	1	14910	14910	warp	23340	400
1789001108	1	15130	15130	warp	23252	400
1789001110	1	15407	15407	warp	22986	400
1789001112	1	15716	15716	warp	22601	400
1789001114	1	11569	11569	warp	26001	400
1789001116	1	10892	10892	warp	26512	400
1789001118	1	9608	9608	warp	27860	400
1789001120	1	7783	7783	warp	29558	400
1789001122	1	6683	6683	warp	30677	400
1789001124	1	6832	6832	warp	30666	400
1789001129	1	6896	6896	warp	30612	400
1789001131	1	6078	6078	warp	31414	400
1789001133	1	6131	6131	warp	31426	400
1789001135	1	5698	5698	warp	31675	400
1789001137	1	5122	5122	warp	32326	400
1789001139	1	5074	5074	warp	32450	400
1789001141	1	5000	5000	warp	32600	400
1789001143	1	5020	5020	warp	32569	400
1789001145	1	3702	3702	warp	33804	400
1789001147	1	6175	6175	warp	31670	400
1789001149	1	7313	7313	warp	30562	400
1789001151	1	8518	8518	warp	29050	400
1789001153	1	9130	9130	warp	28230	400
1789001155	1	9090	9090	warp	28378	400
1789001157	1	9249	9249	warp	28394	400
1789001159	1	9421	9421	warp	28301	400
1789001163	1	9600	9600	warp	28209	400
1789001166	1	9783	9783	warp	28126	400
1789001168	1	9949	9949	warp	28016	400
1789001170	1	10011	10011	warp	27942	400
1789001172	1	10086	10086	warp	27930	400
1789001174	1	10156	10156	warp	27874	400
1789001176	1	10266	10266	warp	27772	400
1789001178	1	10450	10450	warp	27599	400
1789001180	1	10506	10506	warp	27534	400
1789001182	1	10668	10668	warp	27363	400
1789001184	1	10888	10888	warp	27135	400
1789001186	1	11127	11127	warp	26950	400
1789001188	1	10038	10038	warp	27775	400
1789001190	1	10450	10450	warp	27297	400
1789001192	1	10139	10139	warp	27331	400
1789001196	1	9809	9809	warp	27419	400
1789001198	1	10283	10283	warp	26909	400
1789001200	1	10555	10555	warp	26692	400
1789001203	1	10692	10692	warp	26694	400
1789001205	1	10874	10874	warp	26620	400
1789001207	1	10911	10911	warp	26539	400
1789001209	1	10665	10665	warp	26868	400
1789001211	1	9849	9849	warp	27612	400
1789001213	1	10257	10257	warp	27277	400
1789001215	1	10520	10520	warp	27068	400
1789001217	1	10618	10618	warp	26946	400
1789001219	1	10789	10789	warp	26834	400
1789001221	1	10834	10834	warp	26875	400
1789001223	1	10893	10893	warp	26873	400
1789001225	1	10810	10810	warp	26985	400
1789001227	1	10903	10903	warp	26983	400
1789001231	1	11053	11053	warp	26904	400
1789001233	1	11285	11285	warp	26709	400
1789001235	1	11470	11470	warp	26543	400
1789001237	1	12146	12146	warp	25881	400
1789001239	1	11892	11892	warp	26026	400
1789001242	1	12072	12072	warp	25888	400
1789001244	1	12304	12304	warp	25685	400
1789001246	1	12066	12066	warp	25695	400
1789001248	1	10520	10520	warp	27237	400
1789001250	1	9626	9626	warp	28028	400
1789001252	1	8478	8478	warp	29122	400
1789001254	1	8570	8570	warp	29112	400
1789001256	1	6272	6272	warp	31231	400
1789001258	1	6396	6396	warp	31185	400
1789001260	1	6484	6484	warp	31152	400
1789001262	1	5442	5442	warp	32119	400
1789001266	1	4444	4444	warp	32907	400
1789001268	1	3426	3426	warp	34013	400
1789001270	1	3442	3442	warp	34081	400
1789001272	1	3447	3447	warp	34158	400
1789001274	1	3487	3487	warp	34171	400
1789001276	1	3561	3561	warp	34173	400
1789001278	1	3592	3592	warp	34186	400
1789001280	1	3628	3628	warp	34211	400
1789001282	1	163	163	warp_oss	37594	400
1789001284	1	1377	1377	warp_oss	37229	400
1789001286	1	3266	3266	warp_oss	36373	400
