epoch	n_rustc	sum_rss_mb	max_rss_mb	max_crate	avail_mb	swap_used_mb
1789002887	0	0	0	-	38183	400
1789002889	1	1077	1077	warp	37247	400
1789002891	1	1597	1597	warp	36693	400
1789002896	1	1927	1927	warp	36422	400
1789002898	1	2339	2339	warp	36020	400
1789002900	1	2574	2574	warp	35931	400
1789002902	1	2765	2765	warp	35788	400
1789002904	1	2779	2779	warp	35767	400
1789002906	1	2830	2830	warp	35767	400
1789002908	1	2928	2928	warp	35692	400
1789002910	1	3050	3050	warp	35589	400
1789002912	1	3206	3206	warp	35423	400
1789002914	1	3259	3259	warp	35392	400
1789002916	1	3369	3369	warp	35288	400
1789002918	1	3489	3489	warp	35173	400
1789002920	1	3613	3613	warp	35047	400
1789002922	1	3721	3721	warp	34944	400
1789002924	1	3860	3860	warp	34809	400
1789002926	1	3986	3986	warp	34675	400
1789002931	1	4201	4201	warp	34465	400
1789002933	1	4298	4298	warp	34376	400
1789002935	1	4505	4505	warp	34164	400
1789002937	1	4616	4616	warp	34066	400
1789002939	1	4731	4731	warp	33920	400
1789002941	1	4848	4848	warp	33811	400
1789002943	1	4988	4988	warp	33671	400
1789002945	1	5135	5135	warp	33527	400
1789002947	1	5273	5273	warp	33393	400
1789002949	1	5415	5415	warp	33277	400
1789002951	1	5549	5549	warp	33145	400
1789002953	1	5711	5711	warp	32981	400
1789002955	1	5804	5804	warp	32896	400
1789002957	1	5875	5875	warp	32815	400
1789002959	1	5964	5964	warp	32722	400
1789002961	1	6019	6019	warp	32678	400
1789002965	1	6088	6088	warp	32605	400
1789002967	1	6122	6122	warp	32585	400
1789002969	1	6201	6201	warp	32509	400
1789002972	1	6279	6279	warp	32427	400
1789002974	1	6464	6464	warp	32229	400
1789002976	1	6513	6513	warp	32188	400
1789002978	1	6532	6532	warp	32178	400
1789002980	1	6556	6556	warp	32153	400
1789002982	1	6818	6818	warp	31904	400
1789002984	1	7061	7061	warp	31673	400
1789002986	1	7211	7211	warp	31530	400
1789002988	1	7296	7296	warp	31424	400
1789002990	1	7387	7387	warp	31335	400
1789002992	1	7507	7507	warp	31189	400
1789002994	1	7597	7597	warp	31136	400
1789002996	1	7754	7754	warp	30932	400
1789003000	1	7793	7793	warp	30918	400
1789003002	1	7828	7828	warp	30907	400
1789003004	1	7930	7930	warp	30765	400
1789003006	1	7957	7957	warp	30766	400
1789003008	1	8003	8003	warp	30717	400
1789003010	1	8030	8030	warp	30709	400
1789003012	1	8053	8053	warp	30686	400
1789003014	1	8112	8112	warp	30632	400
1789003016	1	8272	8272	warp	30433	400
1789003018	1	8441	8441	warp	30273	400
1789003021	1	8541	8541	warp	30176	400
1789003023	1	8693	8693	warp	30045	400
1789003025	1	8750	8750	warp	29976	400
1789003027	1	8821	8821	warp	29932	400
1789003029	1	8729	8729	warp	29958	400
1789003031	1	9084	9084	warp	29676	400
1789003035	1	9605	9605	warp	28991	400
