epoch	n_rustc	sum_rss_mb	max_rss_mb	max_crate	avail_mb	swap_used_mb
1789003572	0	0	0	-	37924	400
1789003574	1	1111	1111	warp	36960	400
1789003576	1	1656	1656	warp	36503	400
1789003578	1	2025	2025	warp	36190	400
1789003580	1	2448	2448	warp	35857	400
1789003582	1	2716	2716	warp	35692	400
1789003584	1	2831	2831	warp	35612	400
1789003586	1	2862	2862	warp	35628	400
1789003588	1	2930	2930	warp	35606	400
1789003592	1	3096	3096	warp	35455	400
1789003594	1	3227	3227	warp	35349	400
1789003596	1	3330	3330	warp	35260	400
1789003598	1	3476	3476	warp	35135	400
1789003601	1	3628	3628	warp	35011	400
1789003603	1	3752	3752	warp	34894	400
1789003605	1	3945	3945	warp	34710	400
1789003607	1	4163	4163	warp	34475	400
1789003609	1	4259	4259	warp	34403	400
1789003611	1	4433	4433	warp	34235	400
1789003613	1	4611	4611	warp	34074	400
1789003615	1	4729	4729	warp	33926	400
1789003617	1	4853	4853	warp	33807	400
1789003619	1	5012	5012	warp	33662	400
1789003621	1	5154	5154	warp	33536	400
1789003623	1	5325	5325	warp	33380	400
1789003627	1	5455	5455	warp	33243	400
1789003629	1	5597	5597	warp	33107	400
1789003631	1	5721	5721	warp	32980	400
1789003633	1	5840	5840	warp	32870	400
1789003635	1	5907	5907	warp	32804	400
1789003637	1	6010	6010	warp	32693	400
1789003639	1	6078	6078	warp	32621	400
1789003642	1	6111	6111	warp	32608	400
1789003644	1	6179	6179	warp	32550	400
1789003646	1	6372	6372	warp	32251	400
1789003648	1	6467	6467	warp	32162	400
1789003650	1	6515	6515	warp	32135	400
1789003652	1	6536	6536	warp	32141	400
1789003654	1	6556	6556	warp	32145	400
1789003656	1	6874	6874	warp	31835	400
1789003658	1	7085	7085	warp	31637	400
1789003662	1	7214	7214	warp	31527	400
1789003664	1	7318	7318	warp	31425	400
1789003666	1	7488	7488	warp	31188	400
1789003668	1	7519	7519	warp	31183	400
1789003670	1	7676	7676	warp	31071	400
1789003672	1	7776	7776	warp	30941	400
1789003674	1	7824	7824	warp	30898	400
1789003676	1	7932	7932	warp	30746	400
1789003678	1	7964	7964	warp	30744	400
1789003680	1	8016	8016	warp	30734	400
1789003682	1	8038	8038	warp	30714	400
1789003684	1	8068	8068	warp	30681	400
1789003686	1	8146	8146	warp	30614	400
1789003688	1	8405	8405	warp	30311	400
1789003691	1	8507	8507	warp	30232	400
1789003693	1	8635	8635	warp	30111	400
1789003697	1	8696	8696	warp	30059	400
1789003699	1	8812	8812	warp	29955	400
1789003701	1	8756	8756	warp	29999	400
1789003703	1	9120	9120	warp	29645	400
1789003705	1	9824	9824	warp	28914	400
1789003707	1	10267	10267	warp	28441	400
1789003709	1	10590	10590	warp	28107	400
1789003711	1	10992	10992	warp	27634	400
1789003713	1	11424	11424	warp	27135	400
1789003715	1	11641	11641	warp	26914	400
1789003717	1	12005	12005	warp	26561	400
1789003719	1	12164	12164	warp	26370	400
1789003721	1	12409	12409	warp	26099	400
1789003724	1	12502	12502	warp	25993	400
1789003726	1	12741	12741	warp	25741	400
1789003728	1	12705	12705	warp	25656	400
1789003732	1	12532	12532	warp	25638	400
