epoch	n_rustc	sum_rss_mb	max_rss_mb	max_crate	avail_mb	swap_used_mb
1789003262	0	0	0	-	37848	400
1789003264	1	1106	1106	warp	36944	400
1789003266	1	1675	1675	warp	36435	400
1789003268	1	1993	1993	warp	36186	400
1789003270	1	2272	2272	warp	35840	400
1789003272	1	2671	2671	warp	35698	400
1789003274	1	2813	2813	warp	35619	400
1789003279	1	2823	2823	warp	35618	400
1789003281	1	2887	2887	warp	35623	400
1789003283	1	3040	3040	warp	35505	400
1789003285	1	3221	3221	warp	35343	400
1789003287	1	3303	3303	warp	35279	400
1789003289	1	3440	3440	warp	35138	400
1789003291	1	3589	3589	warp	35008	400
1789003293	1	3728	3728	warp	34888	400
1789003295	1	3887	3887	warp	34754	400
1789003297	1	4084	4084	warp	34523	400
1789003299	1	4233	4233	warp	34431	400
1789003301	1	4417	4417	warp	34251	400
1789003303	1	4608	4608	warp	34076	400
1789003305	1	4733	4733	warp	33933	400
1789003307	1	4878	4878	warp	33814	400
1789003309	1	5050	5050	warp	33642	400
1789003314	1	5215	5215	warp	33475	400
1789003316	1	5370	5370	warp	33321	400
1789003318	1	5513	5513	warp	33180	400
1789003320	1	5666	5666	warp	33026	400
1789003322	1	5799	5799	warp	32905	400
1789003324	1	5881	5881	warp	32832	400
1789003326	1	5966	5966	warp	32735	400
1789003328	1	6039	6039	warp	32680	400
1789003330	1	6094	6094	warp	32604	400
1789003332	1	6131	6131	warp	32580	400
1789003334	1	6217	6217	warp	32501	400
1789003336	1	6421	6421	warp	32248	400
1789003338	1	6487	6487	warp	32250	400
1789003340	1	6529	6529	warp	32208	400
1789003342	1	6545	6545	warp	32191	400
1789003344	1	6561	6561	warp	32172	400
1789003348	1	6892	6892	warp	31856	400
1789003351	1	7108	7108	warp	31648	400
1789003353	1	7231	7231	warp	31518	400
1789003355	1	7335	7335	warp	31402	400
1789003357	1	7497	7497	warp	31193	400
1789003359	1	7549	7549	warp	31186	400
1789003361	1	7747	7747	warp	30964	400
1789003363	1	7786	7786	warp	30960	400
1789003365	1	7830	7830	warp	30934	400
1789003367	1	7935	7935	warp	30793	400
1789003369	1	7973	7973	warp	30764	400
1789003371	1	8028	8028	warp	30712	400
1789003373	1	8042	8042	warp	30692	400
1789003375	1	8074	8074	warp	30663	400
1789003377	1	8202	8202	warp	30514	400
1789003379	1	8441	8441	warp	30319	400
1789003383	1	8532	8532	warp	30236	400
1789003385	1	8691	8691	warp	30072	400
1789003387	1	8706	8706	warp	30000	400
1789003389	1	8839	8839	warp	29925	400
1789003392	1	8927	8927	warp	29838	400
1789003394	1	9696	9696	warp	29021	400
1789003396	1	10374	10374	warp	28336	400
1789003398	1	10956	10956	warp	27714	400
1789003400	1	11352	11352	warp	27272	400
1789003402	1	11405	11405	warp	27210	400
1789003404	1	11280	11280	warp	27262	400
1789003406	1	11309	11309	warp	27180	400
1789003408	1	11656	11656	warp	26862	400
1789003410	1	11685	11685	warp	26712	400
1789003412	1	11672	11672	warp	26748	400
1789003414	1	11526	11526	warp	26829	400
1789003419	1	11160	11160	warp	27107	400
1789003421	1	11350	11350	warp	26944	400
1789003423	1	11352	11352	warp	26946	400
1789003425	1	10731	10731	warp	27565	400
1789003427	1	11009	11009	warp	27389	400
