epoch	n_rustc	sum_rss_mb	max_rss_mb	max_crate	avail_mb	swap_used_mb
1789004321	0	0	0	-	37989	400
1789004323	1	1080	1080	warp	37101	400
1789004325	1	1634	1634	warp	36570	400
1789004327	1	1978	1978	warp	36292	400
1789004329	1	2413	2413	warp	35801	400
1789004332	1	2710	2710	warp	35619	400
1789004334	1	2849	2849	warp	35565	400
1789004336	1	2873	2873	warp	35604	400
1789004338	1	2937	2937	warp	35578	400
1789004340	1	3110	3110	warp	35439	400
1789004342	1	3227	3227	warp	35358	400
1789004344	1	3341	3341	warp	35258	400
1789004346	1	3481	3481	warp	35125	400
1789004348	1	3620	3620	warp	35017	400
1789004352	1	3731	3731	warp	34916	400
1789004354	1	3902	3902	warp	34755	400
1789004356	1	4095	4095	warp	34533	400
1789004358	1	4234	4234	warp	34442	400
1789004360	1	4408	4408	warp	34274	400
1789004362	1	4597	4597	warp	34106	400
1789004364	1	4730	4730	warp	33940	400
1789004366	1	4870	4870	warp	33830	400
1789004368	1	5046	5046	warp	33661	400
1789004370	1	5217	5217	warp	33482	400
1789004372	1	5380	5380	warp	33329	400
1789004374	1	5509	5509	warp	33207	400
1789004376	1	5658	5658	warp	33047	400
1789004378	1	5789	5789	warp	32914	400
1789004380	1	5874	5874	warp	32833	400
1789004382	1	5965	5965	warp	32735	400
1789004387	1	6023	6023	warp	32708	400
1789004389	1	6090	6090	warp	32620	400
1789004391	1	6128	6128	warp	32589	400
1789004393	1	6212	6212	warp	32518	400
1789004395	1	6378	6378	warp	32257	400
1789004397	1	6474	6474	warp	32260	400
1789004399	1	6526	6526	warp	32196	400
1789004401	1	6542	6542	warp	32183	400
1789004403	1	6560	6560	warp	32173	400
1789004405	1	6889	6889	warp	31852	400
1789004407	1	7106	7106	warp	31639	400
1789004409	1	7220	7220	warp	31517	400
1789004411	1	7315	7315	warp	31428	400
1789004413	1	7484	7484	warp	31197	400
1789004415	1	7513	7513	warp	31202	400
1789004417	1	7666	7666	warp	31048	400
1789004422	1	7767	7767	warp	30929	400
1789004424	1	7807	7807	warp	30929	400
1789004426	1	7914	7914	warp	30778	400
1789004428	1	7947	7947	warp	30774	400
1789004430	1	7994	7994	warp	30761	400
1789004432	1	8027	8027	warp	30729	400
1789004434	1	8053	8053	warp	30714	400
1789004436	1	8123	8123	warp	30652	400
1789004438	1	8390	8390	warp	30366	400
1789004440	1	8491	8491	warp	30289	400
1789004442	1	8623	8623	warp	30155	400
1789004444	1	8692	8692	warp	30067	400
1789004446	1	8809	8809	warp	29947	400
1789004448	1	8851	8851	warp	29896	400
1789004450	1	9571	9571	warp	29173	400
1789004452	1	10132	10132	warp	28604	400
1789004457	1	10529	10529	warp	28250	400
1789004459	1	10888	10888	warp	27864	403
1789004461	1	11034	11034	warp	27704	403
1789004463	1	10998	10998	warp	27728	403
1789004465	1	11102	11102	warp	27612	403
1789004467	1	11184	11184	warp	27609	403
1789004469	1	11237	11237	warp	27514	403
1789004471	1	11044	11044	warp	27674	405
1789004473	1	11174	11174	warp	27506	405
1789004475	1	11086	11086	warp	27595	405
1789004477	1	11176	11176	warp	27325	405
1789004479	1	11041	11041	warp	27517	405
1789004481	1	10821	10821	warp	27515	405
1789004483	1	10254	10254	warp	27881	405
1789004485	1	10244	10244	warp	27716	405
1789004487	1	10066	10066	warp	27928	405
1789004492	1	10134	10134	warp	27851	405
1789004494	1	10001	10001	warp	27962	405
1789004496	1	9987	9987	warp	28083	405
1789004498	1	9942	9942	warp	28047	405
1789004500	1	9999	9999	warp	27923	405
1789004502	1	9972	9972	warp	27957	405
1789004504	1	10051	10051	warp	27942	405
1789004506	1	10088	10088	warp	27864	405
1789004508	1	10058	10058	warp	27901	405
1789004510	1	6217	6217	warp	30946	405
1789004512	1	5123	5123	warp	32001	405
1789004514	1	6747	6747	warp	30822	405
1789004516	1	7724	7724	warp	29840	405
1789004518	1	8012	8012	warp	29375	405
1789004520	1	8029	8029	warp	29427	405
1789004522	1	8113	8113	warp	29485	405
1789004527	1	8158	8158	warp	29500	405
1789004529	1	8244	8244	warp	29449	405
1789004531	1	8298	8298	warp	29380	405
1789004533	1	8337	8337	warp	29411	405
1789004535	1	8438	8438	warp	29320	405
1789004537	1	8455	8455	warp	29350	405
1789004539	1	8403	8403	warp	29434	405
1789004541	1	8136	8136	warp	29728	405
1789004543	1	8277	8277	warp	29596	405
1789004546	1	8318	8318	warp	29568	405
1789004548	1	8431	8431	warp	29458	405
1789004550	1	8158	8158	warp	29675	405
1789004552	1	8228	8228	warp	29546	405
1789004554	1	7652	7652	warp	29970	405
1789004556	1	7722	7722	warp	29866	405
1789004558	1	7546	7546	warp	30047	405
1789004562	1	7528	7528	warp	30129	405
1789004564	1	7425	7425	warp	30200	405
1789004566	1	7342	7342	warp	30291	405
1789004568	1	7310	7310	warp	30380	405
1789004571	1	7241	7241	warp	30479	405
1789004573	1	7309	7309	warp	30490	405
1789004575	1	7217	7217	warp	30606	405
1789004577	1	7160	7160	warp	30687	405
1789004579	1	7267	7267	warp	30614	405
1789004581	1	7279	7279	warp	30616	405
1789004583	1	7146	7146	warp	30714	405
1789004585	1	7289	7289	warp	30543	405
1789004587	1	7386	7386	warp	30535	405
1789004589	1	7212	7212	warp	30682	405
1789004591	1	7332	7332	warp	30534	405
1789004593	1	7199	7199	warp	30699	405
1789004598	1	7261	7261	warp	30529	405
1789004600	1	6354	6354	warp	31480	405
1789004602	1	6454	6454	warp	31411	405
1789004604	1	6530	6530	warp	31368	405
1789004606	1	6292	6292	warp	31641	405
1789004608	1	6248	6248	warp	31595	405
1789004610	1	6226	6226	warp	31598	405
1789004612	1	6307	6307	warp	31518	405
1789004614	1	6301	6301	warp	31570	405
1789004616	1	6122	6122	warp	31725	405
1789004618	1	6018	6018	warp	31789	405
1789004620	1	5955	5955	warp	31908	405
1789004622	1	5398	5398	warp	32398	405
1789004624	1	3160	3160	warp	34656	405
1789004626	1	162	162	warp_oss	37869	405
