epoch	n_rustc	sum_rss_mb	max_rss_mb	max_crate	avail_mb	swap_used_mb
1789001339	0	0	0	-	38200	400
1789001341	1	603	603	warp	37419	400
1789001343	1	1504	1504	warp	36819	400
1789001345	1	1930	1930	warp	36435	400
1789001347	1	2247	2247	warp	36138	400
1789001349	1	2503	2503	warp	35959	400
1789001351	1	2717	2717	warp	35842	400
1789001353	1	2762	2762	warp	35807	400
1789001355	1	2779	2779	warp	35801	400
1789001357	1	2884	2884	warp	35750	400
1789001359	1	3044	3044	warp	35602	400
1789001362	1	3220	3220	warp	35430	400
1789001364	1	3279	3279	warp	35422	400
1789001366	1	3396	3396	warp	35299	400
1789001370	1	3513	3513	warp	35173	400
1789001372	1	3639	3639	warp	35054	400
1789001374	1	3741	3741	warp	34943	400
1789001376	1	3900	3900	warp	34789	400
1789001378	1	4030	4030	warp	34667	400
1789001380	1	4212	4212	warp	34482	400
1789001382	1	4361	4361	warp	34345	400
1789001384	1	4532	4532	warp	34176	400
1789001386	1	4660	4660	warp	34059	400
1789001388	1	4789	4789	warp	33910	400
1789001390	1	4907	4907	warp	33809	400
1789001392	1	5065	5065	warp	33653	400
1789001394	1	5218	5218	warp	33497	400
1789001396	1	5367	5367	warp	33339	400
1789001398	1	5510	5510	warp	33198	400
1789001400	1	5652	5652	warp	33058	400
1789001405	1	5784	5784	warp	32933	400
1789001407	1	5855	5855	warp	32877	400
1789001409	1	5951	5951	warp	32747	400
1789001411	1	6007	6007	warp	32716	400
1789001413	1	6070	6070	warp	32634	400
1789001415	1	6099	6099	warp	32635	400
1789001417	1	6144	6144	warp	32593	400
1789001419	1	6229	6229	warp	32510	400
1789001421	1	6378	6378	warp	32270	400
1789001423	1	6465	6465	warp	32271	400
1789001425	1	6501	6501	warp	32246	400
1789001427	1	6528	6528	warp	32212	400
1789001429	1	6543	6543	warp	32202	400
1789001431	1	6557	6557	warp	32185	400
1789001433	1	6823	6823	warp	31938	400
1789001435	1	6988	6988	warp	31767	400
1789001439	1	7160	7160	warp	31611	400
1789001441	1	7270	7270	warp	31485	400
1789001443	1	7361	7361	warp	31401	400
1789001446	1	7497	7497	warp	31204	400
1789001448	1	7519	7519	warp	31195	400
1789001450	1	7661	7661	warp	31053	400
1789001452	1	7767	7767	warp	30919	400
1789001454	1	7803	7803	warp	30916	400
1789001456	1	7838	7838	warp	30910	400
1789001458	1	7938	7938	warp	30792	400
1789001460	1	7967	7967	warp	30782	400
1789001462	1	8007	8007	warp	30747	400
1789001464	1	8033	8033	warp	30720	400
1789001466	1	8051	8051	warp	30722	400
1789001468	1	8074	8074	warp	30698	400
1789001470	1	8148	8148	warp	30623	400
1789001474	1	8411	8411	warp	30357	400
1789001476	1	8512	8512	warp	30267	400
1789001478	1	8638	8638	warp	30156	400
1789001480	1	8712	8712	warp	30076	400
1789001482	1	8792	8792	warp	30004	400
1789001484	1	8713	8713	warp	30064	400
1789001486	1	9356	9356	warp	29407	400
1789001488	1	9997	9997	warp	28701	400
1789001490	1	10586	10586	warp	28055	400
1789001492	1	11157	11157	warp	27472	400
1789001494	1	11579	11579	warp	27054	400
1789001497	1	12095	12095	warp	26500	400
1789001499	1	12370	12370	warp	26237	400
1789001501	1	12678	12678	warp	25925	400
1789001503	1	12786	12786	warp	25836	400
1789001505	1	12873	12873	warp	25728	400
1789001509	1	12967	12967	warp	25666	400
1789001511	1	13079	13079	warp	25551	400
1789001513	1	13232	13232	warp	25419	400
1789001515	1	13413	13413	warp	25233	400
1789001517	1	13318	13318	warp	25088	400
1789001519	1	12369	12369	warp	25859	400
1789001521	1	12837	12837	warp	25443	400
1789001523	1	12287	12287	warp	25845	400
1789001526	1	12273	12273	warp	25797	400
1789001528	1	12629	12629	warp	25563	400
1789001530	1	12775	12775	warp	25313	400
1789001532	1	11841	11841	warp	26122	400
1789001534	1	8975	8975	warp	28311	400
1789001536	1	8061	8061	warp	29298	400
1789001538	1	6611	6611	warp	30844	400
1789001540	1	5222	5222	warp	32278	400
1789001544	1	5120	5120	warp	32519	400
1789001546	1	4758	4758	warp	32895	400
1789001548	1	4528	4528	warp	33147	400
1789001551	1	4592	4592	warp	33162	400
1789001553	1	4363	4363	warp	33334	400
1789001555	1	4045	4045	warp	33626	400
1789001557	1	3615	3615	warp	33963	400
1789001559	1	3595	3595	warp	34032	400
1789001561	1	3155	3155	warp	34375	400
1789001563	1	2849	2849	warp	34701	400
1789001565	1	4399	4399	warp	33221	400
1789001567	1	5635	5635	warp	32057	400
1789001569	1	7048	7048	warp	30130	400
1789001571	1	6843	6843	warp	30262	400
1789001573	1	6981	6981	warp	30319	400
1789001577	1	7107	7107	warp	30321	400
1789001579	1	7235	7235	warp	30299	400
1789001581	1	7388	7388	warp	30274	400
1789001583	1	7531	7531	warp	30193	400
1789001585	1	7676	7676	warp	30096	400
1789001587	1	7810	7810	warp	30084	400
1789001589	1	7833	7833	warp	30104	400
1789001591	1	7813	7813	warp	30136	400
1789001593	1	7694	7694	warp	30244	400
1789001595	1	7613	7613	warp	30356	400
1789001597	1	7464	7464	warp	30482	400
1789001599	1	7436	7436	warp	30558	400
1789001601	1	7484	7484	warp	30556	400
1789001603	1	7040	7040	warp	30878	400
1789001605	1	7441	7441	warp	30502	400
1789001607	1	7528	7528	warp	30266	400
1789001612	1	7560	7560	warp	30281	400
1789001614	1	7121	7121	warp	30703	400
1789001616	1	7499	7499	warp	30366	400
1789001618	1	7214	7214	warp	30494	400
1789001620	1	7497	7497	warp	30204	400
1789001622	1	6985	6985	warp	30602	400
1789001624	1	6660	6660	warp	30946	400
1789001626	1	6360	6360	warp	31054	400
1789001628	1	6728	6728	warp	30710	400
1789001630	1	6723	6723	warp	30774	400
1789001632	1	6819	6819	warp	30791	400
1789001634	1	6868	6868	warp	30807	400
1789001636	1	6979	6979	warp	30779	400
1789001638	1	7072	7072	warp	30774	400
1789001640	1	6799	6799	warp	31070	400
1789001643	1	6984	6984	warp	30904	400
1789001647	1	7064	7064	warp	30767	400
1789001649	1	7145	7145	warp	30713	400
1789001651	1	6588	6588	warp	31217	400
1789001653	1	5577	5577	warp	32134	400
1789001655	1	5554	5554	warp	32178	400
1789001657	1	5613	5613	warp	32180	400
1789001659	1	5142	5142	warp	32566	400
1789001661	1	5144	5144	warp	32616	400
1789001663	1	5164	5164	warp	32645	400
1789001665	1	4028	4028	warp	33702	400
1789001667	1	3407	3407	warp	34271	400
1789001669	1	3428	3428	warp	34327	400
1789001671	1	2959	2959	warp	34656	400
1789001673	1	2428	2428	warp	35265	400
1789001675	1	2439	2439	warp	35328	400
1789001677	1	1100	1100	warp	36671	400
1789001682	1	161	161	warp_oss	37000	400
