epoch	n_rustc	sum_rss_mb	max_rss_mb	max_crate	avail_mb	swap_used_mb
1789001684	0	0	0	-	37875	400
1789001686	1	632	632	warp	37124	400
1789001688	1	1509	1509	warp	36599	400
1789001690	1	1931	1931	warp	36245	400
1789001692	1	2314	2314	warp	35918	400
1789001694	1	2580	2580	warp	35715	400
1789001696	1	2776	2776	warp	35655	400
1789001698	1	2797	2797	warp	35666	400
1789001700	1	2837	2837	warp	35687	400
1789001702	1	2935	2935	warp	35613	400
1789001704	1	3100	3100	warp	35508	400
1789001706	1	3228	3228	warp	35403	400
1789001708	1	3299	3299	warp	35344	400
1789001711	1	3418	3418	warp	35242	400
1789001713	1	3533	3533	warp	35149	400
1789001717	1	3658	3658	warp	35031	400
1789001719	1	3765	3765	warp	34938	400
1789001721	1	3931	3931	warp	34781	400
1789001723	1	4105	4105	warp	34589	400
1789001725	1	4226	4226	warp	34497	400
1789001727	1	4388	4388	warp	34333	400
1789001729	1	4564	4564	warp	34165	400
1789001731	1	4681	4681	warp	34051	400
1789001733	1	4800	4800	warp	33928	400
1789001735	1	4922	4922	warp	33817	400
1789001737	1	5094	5094	warp	33650	400
1789001739	1	5243	5243	warp	33504	400
1789001741	1	5388	5388	warp	33361	400
1789001743	1	5520	5520	warp	33188	400
1789001745	1	5654	5654	warp	33067	400
1789001747	1	5768	5768	warp	32963	400
1789001752	1	5853	5853	warp	32898	400
1789001754	1	5906	5906	warp	32844	400
1789001756	1	5976	5976	warp	32770	400
1789001758	1	6036	6036	warp	32706	400
1789001760	1	6088	6088	warp	32666	400
1789001762	1	6130	6130	warp	32630	400
1789001764	1	6209	6209	warp	32558	400
1789001766	1	6375	6375	warp	32294	400
1789001768	1	6465	6465	warp	32245	400
1789001770	1	6503	6503	warp	32244	400
1789001772	1	6531	6531	warp	32238	400
1789001774	1	6545	6545	warp	32231	400
1789001776	1	6561	6561	warp	32218	400
1789001778	1	6893	6893	warp	31903	400
1789001780	1	7096	7096	warp	31701	400
1789001782	1	7209	7209	warp	31592	400
1789001787	1	7299	7299	warp	31499	400
1789001789	1	7469	7469	warp	31245	400
1789001791	1	7503	7503	warp	31246	400
1789001793	1	7592	7592	warp	31204	400
1789001795	1	7745	7745	warp	31017	400
1789001797	1	7782	7782	warp	31018	400
1789001799	1	7819	7819	warp	30981	400
1789001801	1	7923	7923	warp	30829	400
1789001803	1	7947	7947	warp	30826	400
1789001805	1	7991	7991	warp	30808	400
1789001807	1	8021	8021	warp	30790	400
1789001809	1	8038	8038	warp	30767	400
1789001811	1	8065	8065	warp	30742	400
1789001813	1	8187	8187	warp	30582	400
1789001815	1	8401	8401	warp	30358	400
1789001817	1	8489	8489	warp	30273	400
1789001821	1	8599	8599	warp	30195	400
1789001823	1	8699	8699	warp	30101	400
1789001825	1	8744	8744	warp	30056	400
1789001827	1	8620	8620	warp	30071	400
1789001829	1	8914	8914	warp	29873	400
1789001831	1	9357	9357	warp	29388	400
1789001833	1	9796	9796	warp	28988	400
1789001836	1	10251	10251	warp	28502	400
1789001838	1	10501	10501	warp	28263	400
1789001840	1	10910	10910	warp	27722	400
1789001842	1	11247	11247	warp	27379	400
1789001844	1	11661	11661	warp	27026	400
1789001846	1	12100	12100	warp	26626	400
1789001848	1	12450	12450	warp	26251	400
1789001850	1	12978	12978	warp	25711	400
1789001854	1	13188	13188	warp	25467	400
1789001856	1	13662	13662	warp	24961	400
1789001858	1	13979	13979	warp	24657	400
1789001860	1	14308	14308	warp	24314	400
1789001862	1	14251	14251	warp	24253	400
1789001864	1	14495	14495	warp	23802	400
1789001866	1	14237	14237	warp	24129	400
1789001868	1	14424	14424	warp	24021	400
1789001870	1	14751	14751	warp	23806	400
1789001873	1	15186	15186	warp	23183	400
1789001875	1	14337	14337	warp	23807	400
1789001877	1	13812	13812	warp	24136	400
1789001879	1	13979	13979	warp	24090	400
1789001881	1	14189	14189	warp	23872	400
1789001883	1	14608	14608	warp	23400	400
1789001885	1	14766	14766	warp	23376	400
1789001889	1	14790	14790	warp	23350	400
1789001891	1	14602	14602	warp	23382	400
1789001893	1	14366	14366	warp	23765	400
1789001895	1	14668	14668	warp	23541	400
1789001897	1	10647	10647	warp	26948	400
1789001899	1	10199	10199	warp	27335	400
1789001901	1	8937	8937	warp	28650	400
1789001903	1	7589	7589	warp	29918	400
1789001905	1	6495	6495	warp	31135	400
1789001907	1	6589	6589	warp	31125	400
1789001910	1	6813	6813	warp	31060	400
1789001912	1	6392	6392	warp	31396	400
1789001914	1	6527	6527	warp	31257	400
1789001916	1	6029	6029	warp	31523	400
1789001918	1	5441	5441	warp	32081	400
1789001920	1	4918	4918	warp	32508	400
1789001924	1	4307	4307	warp	33132	400
1789001926	1	4180	4180	warp	33271	400
1789001928	1	4328	4328	warp	33273	400
1789001930	1	3126	3126	warp	34424	400
1789001932	1	5505	5505	warp	32239	400
1789001934	1	6965	6965	warp	30747	400
1789001936	1	8195	8195	warp	29262	400
1789001938	1	8753	8753	warp	28421	400
1789001940	1	8813	8813	warp	28486	400
1789001942	1	8989	8989	warp	28465	400
1789001944	1	9174	9174	warp	28460	400
1789001946	1	9375	9375	warp	28399	400
1789001948	1	9599	9599	warp	28262	400
1789001951	1	9762	9762	warp	28181	400
1789001953	1	9885	9885	warp	28090	400
1789001955	1	9971	9971	warp	27987	400
1789001959	1	10046	10046	warp	27910	400
1789001961	1	10151	10151	warp	27829	400
1789001963	1	10249	10249	warp	27705	400
1789001965	1	10326	10326	warp	27674	400
1789001967	1	10361	10361	warp	27625	400
1789001969	1	10471	10471	warp	27511	400
1789001971	1	10705	10705	warp	27323	400
1789001973	1	9637	9637	warp	28052	400
1789001975	1	10284	10284	warp	27480	400
1789001977	1	10015	10015	warp	27579	400
1789001979	1	9864	9864	warp	27497	400
1789001981	1	10214	10214	warp	27239	400
1789001983	1	10420	10420	warp	26951	400
1789001985	1	10442	10442	warp	26985	400
1789001988	1	10540	10540	warp	26897	400
1789001990	1	10619	10619	warp	26886	400
1789001994	1	10843	10843	warp	26766	400
1789001996	1	9882	9882	warp	27537	400
1789001998	1	9404	9404	warp	28167	400
1789002000	1	9857	9857	warp	27804	400
1789002002	1	10169	10169	warp	27407	400
1789002004	1	10261	10261	warp	27353	400
1789002006	1	10431	10431	warp	27302	400
1789002008	1	10597	10597	warp	27192	400
1789002010	1	10630	10630	warp	27168	400
1789002012	1	10723	10723	warp	27054	400
1789002014	1	10762	10762	warp	27038	400
1789002016	1	10883	10883	warp	26955	400
1789002018	1	11063	11063	warp	26884	400
1789002020	1	11267	11267	warp	26734	400
1789002022	1	11567	11567	warp	26429	400
1789002025	1	10932	10932	warp	26812	400
1789002029	1	11109	11109	warp	26648	400
1789002031	1	11320	11320	warp	26396	400
1789002033	1	11620	11620	warp	26151	400
1789002035	1	10053	10053	warp	27637	400
1789002037	1	9882	9882	warp	27889	400
1789002039	1	9995	9995	warp	27719	400
1789002041	1	8108	8108	warp	29502	400
1789002043	1	7054	7054	warp	30515	400
1789002045	1	5866	5866	warp	31586	400
1789002047	1	5956	5956	warp	31573	400
1789002049	1	5056	5056	warp	32525	400
1789002051	1	3893	3893	warp	33495	400
1789002053	1	2835	2835	warp	34618	400
1789002055	1	2872	2872	warp	34639	400
1789002057	1	2915	2915	warp	34672	400
1789002062	1	2960	2960	warp	34720	400
1789002064	1	2993	2993	warp	34765	400
1789002066	1	1442	1442	warp	36548	400
1789002068	1	325	325	warp_oss	37568	400
1789002070	1	2836	2836	warp_oss	36333	400
