name	rc	secs	exact_peak_mb	sampled_peak_mb	peak_crate	avail_low_mb	bin_bytes	crates
baseline	0	378	15809	15716	warp	22601	777693216	1
debug0	0	343	13507	13413	warp	25088	644679304	1
opt2	0	387	15242	15186	warp	23183	766561832	1
cgu32	0	375	13588	13286	warp	25035	784710744	1
unpacked	0	388	15450	15172	warp	23118	777647824	1
baseline2	0	374	15803	15451	warp	22984	777693216	1
combo	0	308	11760	11685	warp	26712	648318696	1
cgu64	0	342	12876	12841	warp	25340	792499608	1
cgu256	0	365	12610	12439	warp	26025	811104216	1
combo64	0	305	11342	11237	warp	27325	652445672	1
