epoch	n_rustc	sum_rss_mb	max_rss_mb	max_crate	avail_mb	swap_used_mb
1789002450	0	0	0	-	37550	400
1789002452	1	1042	1042	warp	36805	400
1789002454	1	1611	1611	warp	36326	400
1789002456	1	1931	1931	warp	36149	400
1789002458	1	2425	2425	warp	35707	400
1789002460	1	2603	2603	warp	35738	400
1789002462	1	2774	2774	warp	35663	400
1789002464	1	2771	2771	warp	35661	400
1789002466	1	2819	2819	warp	35688	400
1789002468	1	2926	2926	warp	35626	400
1789002470	1	3091	3091	warp	35487	400
1789002472	1	3227	3227	warp	35387	400
1789002474	1	3300	3300	warp	35342	400
1789002476	1	3421	3421	warp	35233	400
1789002481	1	3540	3540	warp	35124	400
1789002483	1	3665	3665	warp	35007	400
1789002485	1	3781	3781	warp	34910	400
1789002487	1	3945	3945	warp	34748	400
1789002489	1	4124	4124	warp	34556	400
1789002491	1	4229	4229	warp	34467	400
1789002493	1	4384	4384	warp	34316	400
1789002495	1	4555	4555	warp	34156	400
1789002497	1	4678	4678	warp	34039	400
1789002499	1	4783	4783	warp	33916	400
1789002501	1	4894	4894	warp	33818	400
1789002503	1	5054	5054	warp	33663	400
1789002505	1	5213	5213	warp	33493	400
1789002507	1	5365	5365	warp	33351	400
1789002509	1	5509	5509	warp	33215	400
1789002511	1	5643	5643	warp	33069	400
1789002515	1	5736	5736	warp	32991	400
1789002518	1	5853	5853	warp	32888	400
1789002520	1	5907	5907	warp	32834	400
1789002522	1	5987	5987	warp	32764	400
1789002524	1	6046	6046	warp	32692	400
1789002526	1	6097	6097	warp	32638	400
1789002528	1	6131	6131	warp	32622	400
1789002530	1	6211	6211	warp	32546	400
1789002532	1	6377	6377	warp	32285	400
1789002534	1	6463	6463	warp	32276	400
1789002536	1	6504	6504	warp	32249	400
1789002538	1	6531	6531	warp	32218	400
1789002540	1	6543	6543	warp	32205	400
1789002542	1	6559	6559	warp	32192	400
1789002544	1	6886	6886	warp	31881	400
1789002546	1	7090	7090	warp	31674	400
1789002550	1	7211	7211	warp	31552	400
1789002552	1	7297	7297	warp	31445	400
1789002554	1	7388	7388	warp	31380	400
1789002556	1	7506	7506	warp	31193	400
1789002558	1	7549	7549	warp	31133	400
1789002560	1	7676	7676	warp	31079	400
1789002562	1	7772	7772	warp	30965	400
1789002564	1	7806	7806	warp	30958	400
1789002567	1	7839	7839	warp	30926	400
1789002569	1	7937	7937	warp	30789	400
1789002571	1	7966	7966	warp	30791	400
1789002573	1	8006	8006	warp	30749	400
1789002575	1	8031	8031	warp	30740	400
1789002577	1	8052	8052	warp	30716	400
1789002579	1	8086	8086	warp	30678	400
1789002581	1	8249	8249	warp	30488	400
1789002585	1	8439	8439	warp	30349	400
1789002587	1	8518	8518	warp	30258	400
1789002589	1	8634	8634	warp	30142	400
1789002591	1	8707	8707	warp	30072	400
1789002593	1	8784	8784	warp	29984	400
1789002595	1	8642	8642	warp	30040	400
1789002597	1	8955	8955	warp	29835	400
1789002599	1	9456	9456	warp	29306	400
1789002601	1	9781	9781	warp	28974	400
1789002603	1	10335	10335	warp	28412	400
1789002605	1	10631	10631	warp	28113	400
1789002607	1	11026	11026	warp	27636	400
1789002609	1	11427	11427	warp	27206	400
1789002612	1	11615	11615	warp	27014	400
1789002614	1	12079	12079	warp	26520	400
1789002618	1	12413	12413	warp	26216	400
1789002620	1	12820	12820	warp	25749	400
1789002622	1	13158	13158	warp	25508	400
1789002624	1	13615	13615	warp	25032	400
1789002626	1	13990	13990	warp	24685	400
1789002628	1	14286	14286	warp	24400	400
1789002630	1	14572	14572	warp	24083	400
1789002632	1	15074	15074	warp	23455	400
1789002634	1	13770	13770	warp	24459	400
1789002636	1	14077	14077	warp	24173	400
1789002638	1	14390	14390	warp	23883	400
1789002640	1	14660	14660	warp	23572	400
1789002642	1	13660	13660	warp	24451	400
1789002645	1	14057	14057	warp	24043	400
1789002647	1	14401	14401	warp	23914	400
1789002649	1	14597	14597	warp	23789	400
1789002653	1	14856	14856	warp	23539	400
1789002655	1	14141	14141	warp	24109	400
1789002657	1	14776	14776	warp	23404	400
1789002659	1	14990	14990	warp	23220	400
1789002661	1	15172	15172	warp	23118	400
1789002663	1	14973	14973	warp	23260	400
1789002665	1	11417	11417	warp	26074	400
1789002667	1	11168	11168	warp	26230	400
1789002669	1	9728	9728	warp	27550	400
1789002671	1	8442	8442	warp	28828	400
1789002673	1	7346	7346	warp	29943	400
1789002675	1	6240	6240	warp	30873	400
1789002677	1	5809	5809	warp	31469	400
1789002680	1	5785	5785	warp	31640	400
1789002682	1	5762	5762	warp	31811	400
1789002684	1	5913	5913	warp	31759	400
1789002688	1	5606	5606	warp	32079	400
1789002690	1	4925	4925	warp	32694	400
1789002692	1	4405	4405	warp	33063	400
1789002694	1	4301	4301	warp	33300	400
1789002696	1	3412	3412	warp	34109	400
1789002698	1	5953	5953	warp	31702	400
1789002700	1	7052	7052	warp	30767	400
1789002702	1	8262	8262	warp	29207	400
1789002704	1	8790	8790	warp	28456	400
1789002706	1	8796	8796	warp	28519	400
1789002708	1	8965	8965	warp	28541	400
1789002710	1	9128	9128	warp	28540	400
1789002712	1	9324	9324	warp	28413	400
1789002714	1	9494	9494	warp	28314	400
1789002717	1	9650	9650	warp	28218	400
1789002719	1	9698	9698	warp	28202	400
1789002723	1	9776	9776	warp	28200	400
1789002725	1	9842	9842	warp	28150	400
1789002727	1	9942	9942	warp	28041	400
1789002729	1	10135	10135	warp	27897	400
1789002731	1	10136	10136	warp	27825	400
1789002733	1	10295	10295	warp	27723	400
1789002735	1	10520	10520	warp	27502	400
1789002737	1	10772	10772	warp	27260	400
1789002739	1	10405	10405	warp	27339	400
1789002741	1	10264	10264	warp	27453	400
1789002743	1	9429	9429	warp	28273	400
1789002745	1	9763	9763	warp	27805	400
1789002748	1	9993	9993	warp	27366	400
1789002750	1	10178	10178	warp	27124	400
1789002752	1	10332	10332	warp	27030	400
1789002754	1	10437	10437	warp	27106	400
1789002758	1	10674	10674	warp	26977	400
1789002760	1	10269	10269	warp	27376	400
1789002762	1	10411	10411	warp	27337	400
1789002764	1	9630	9630	warp	28013	400
1789002766	1	9937	9937	warp	27755	400
1789002768	1	10242	10242	warp	27482	400
