epoch	n_rustc	sum_rss_mb	max_rss_mb	max_crate	avail_mb	swap_used_mb
1789179791	32	4864	293	regex_syntax	35252	269
1789179793	32	4964	354	syn	34632	269
1789179795	31	5635	345	regex_automata	34564	269
1789179797	30	5510	424	rustix	34314	269
1789179799	31	4893	352	x11rb_protocol	34876	269
1789179801	31	5401	396	x11rb_protocol	34521	269
1789179804	31	5529	460	x11rb_protocol	34440	269
1789179806	31	6457	518	x11rb_protocol	33889	269
1789179808	31	6817	595	x11rb_protocol	33640	269
1789179810	31	7363	634	x11rb_protocol	33013	269
1789179812	29	7197	761	x11rb_protocol	32985	269
1789179814	30	7451	794	x11rb_protocol	32612	269
1789179818	30	6897	794	x11rb_protocol	33340	269
1789179820	30	7273	804	x11rb_protocol	33149	269
1789179822	28	6846	779	x11rb_protocol	33115	269
1789179825	27	6222	779	x11rb_protocol	33586	269
1789179827	29	6895	758	x11rb_protocol	33019	269
1789179829	25	6291	752	x11rb_protocol	33041	269
1789179831	28	6800	619	x11rb_protocol	32774	269
1789179833	24	6041	612	x11rb_protocol	33355	269
1789179835	28	7009	624	x11rb_protocol	32836	269
1789179837	26	6476	635	x11rb_protocol	32784	269
1789179839	21	5867	637	x11rb_protocol	32360	269
1789179841	18	5790	608	x11rb_protocol	31832	269
1789179843	17	5410	629	x11rb_protocol	31999	269
1789179845	26	6153	627	x11rb_protocol	32092	269
1789179848	26	6292	625	x11rb_protocol	32679	269
1789179850	29	7149	589	x11rb_protocol	32334	269
1789179854	29	7134	599	ash	32083	269
1789179856	27	7076	712	ash	32107	269
1789179858	28	6847	691	ash	32083	269
1789179860	28	7122	554	ash	32029	269
1789179862	29	7671	623	warp_command_signatures	31674	269
1789179865	29	8219	705	ash	31229	269
1789179867	28	8612	774	ash	30718	269
1789179869	27	8889	840	ash	30612	269
1789179871	27	9214	775	naga	30077	269
1789179873	27	8163	800	naga	31192	269
1789179875	27	8429	779	naga	31249	269
1789179877	27	8486	775	naga	31340	269
1789179879	27	8362	770	naga	31525	269
1789179881	23	7935	780	naga	31531	269
1789179883	16	6598	795	naga	31932	269
1789179888	14	5887	817	naga	32307	269
1789179890	11	4848	695	naga	33287	269
1789179892	7	3542	945	naga	34329	269
1789179894	6	2839	701	naga	34601	269
1789179896	3	1609	916	wgpu_core	35637	269
1789179898	2	1040	622	wgpu_core	35804	269
1789179900	1	336	336	addr	36488	269
1789179902	6	1054	248	git2	36567	269
