first_seen	pid	ppid	comm	cmdline
2026-09-14T00:13:53.492Z	465706	465704	bash	bash /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/run.sh A-repo probe 
2026-09-14T00:13:53.492Z	465715	465706	mitmdump	/usr/bin/python3 /usr/bin/mitmdump --listen-host 127.0.0.1 --listen-port 8081 --set confdir=/tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd
2026-09-14T00:13:53.492Z	465725	465706	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/A-rep
2026-09-14T00:13:53.492Z	465784	465725	sleep	sleep 0.2 
2026-09-14T00:13:53.492Z	465787	465706	warp-oss	/home/effatha/git/warp/target/release/warp-oss --warpctrl acp probe --command /home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88
2026-09-14T00:13:53.492Z	465788	465706	python3	python3 -u /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/ts.py 
2026-09-14T00:13:53.492Z	465789	465706	python3	python3 /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/proctree.py 465706 /tmp/claude-1000/-home-effatha-git-warp/c5
2026-09-14T00:13:53.492Z	465790	465787	MainThread	/home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@agentclientprotocol/claude-agent-acp/dist/index.js 
2026-09-14T00:13:53.695Z	465807	465725	sleep	sleep 0.2 
2026-09-14T00:13:53.695Z	465809	465790	reg.exe	/init /mnt/c/Windows/System32/reg.exe /mnt/c/Windows/System32/reg.exe query HKCU\SOFTWARE\Policies\ClaudeCode /v Settings 
2026-09-14T00:13:53.897Z	465830	465790	claude	/home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@anthropic-ai/claude-agent-sdk-linux-x64/claude --output-format stream-json --verbose --input-format strea
2026-09-14T00:13:53.897Z	465836	465725	sleep	sleep 0.2 
2026-09-14T00:13:54.100Z	465873	465725	sleep	sleep 0.2 
2026-09-14T00:13:54.100Z	465874	465830	claude	
2026-09-14T00:13:54.100Z	465896	465830	powershell.exe	/init /mnt/c/Windows/System32/WindowsPowerShell/v1.0/powershell.exe powershell.exe -NoProfile -NonInteractive -Command $env:USERPROFILE 
2026-09-14T00:13:54.302Z	465935	465725	sleep	sleep 0.2 
2026-09-14T00:13:54.504Z	465952	465725	sleep	sleep 0.2 
2026-09-14T00:13:54.706Z	465961	465725	sleep	sleep 0.2 
2026-09-14T00:13:55.313Z	466028	465725	sleep	sleep 0.2 
2026-09-14T00:13:55.515Z	466037	465725	sleep	sleep 0.2 
2026-09-14T00:13:55.717Z	466046	465725	sleep	sleep 0.2 
2026-09-14T00:13:55.919Z	466055	465725	sleep	sleep 0.2 
2026-09-14T00:13:56.122Z	466064	465725	sleep	sleep 0.2 
2026-09-14T00:13:56.324Z	466073	465725	sleep	sleep 0.2 
2026-09-14T00:13:56.526Z	466082	465725	sleep	sleep 0.2 
2026-09-14T00:13:56.729Z	466091	465725	sleep	sleep 0.2 
2026-09-14T00:13:56.931Z	466100	465725	sleep	sleep 0.2 
2026-09-14T00:13:57.133Z	466102	465725	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/A-rep
2026-09-14T00:13:57.133Z	466103	465725	grep	grep -E warp-oss|remote-server|terminal-server|claude|node|npx|rust-analyzer 
2026-09-14T00:13:57.133Z	466105	465725	awk	awk -v ts=2026-09-14T00:13:57.125Z -v n=23 -v OFS=\t {print ts,$0,n} 
