first_seen	pid	ppid	comm	cmdline
2026-09-14T00:21:09.174Z	479549	477755	bash	bash /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/run.sh A-warm1 probe 
2026-09-14T00:21:09.174Z	479558	479549	mitmdump	/usr/bin/python3 /usr/bin/mitmdump --listen-host 127.0.0.1 --listen-port 8081 --set confdir=/tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd
2026-09-14T00:21:09.174Z	479568	479549	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/A-war
2026-09-14T00:21:09.174Z	479646	479568	sleep	sleep 0.2 
2026-09-14T00:21:09.174Z	479649	479549	warp-oss	/home/effatha/git/warp/target/release/warp-oss --warpctrl acp probe --command /home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88
2026-09-14T00:21:09.174Z	479650	479549	python3	python3 -u /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/ts.py 
2026-09-14T00:21:09.174Z	479651	479549	python3	python3 /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/proctree.py 479549 /tmp/claude-1000/-home-effatha-git-warp/c5
2026-09-14T00:21:09.174Z	479652	479649	MainThread	/home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@agentclientprotocol/claude-agent-acp/dist/index.js 
2026-09-14T00:21:09.377Z	479669	479568	sleep	sleep 0.2 
2026-09-14T00:21:09.377Z	479671	479652	reg.exe	/init /mnt/c/Windows/System32/reg.exe /mnt/c/Windows/System32/reg.exe query HKCU\SOFTWARE\Policies\ClaudeCode /v Settings 
2026-09-14T00:21:09.579Z	479684	479652	claude	/home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@anthropic-ai/claude-agent-sdk-linux-x64/claude --output-format stream-json --verbose --input-format strea
2026-09-14T00:21:09.579Z	479699	479568	sleep	sleep 0.2 
2026-09-14T00:21:09.579Z	479702	479684	git	
2026-09-14T00:21:09.782Z	479746	479684	powershell.exe	/init /mnt/c/Windows/System32/WindowsPowerShell/v1.0/powershell.exe powershell.exe -NoProfile -NonInteractive -Command $env:USERPROFILE 
2026-09-14T00:21:09.782Z	479764	479568	sleep	sleep 0.2 
2026-09-14T00:21:09.984Z	479803	479568	sleep	sleep 0.2 
2026-09-14T00:21:10.186Z	479805	479568	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/A-war
2026-09-14T00:21:10.186Z	479806	479568	grep	grep -E warp-oss|remote-server|terminal-server|claude|node|MainThread|npx|rust-analyzer 
2026-09-14T00:21:10.186Z	479807	479805	ss	ss -Htnp state all 
2026-09-14T00:21:10.186Z	479808	479568	awk	awk -v ts=2026-09-14T00:21:10.177Z -v n=11 -v OFS=\t {print ts,$0,n} 
2026-09-14T00:21:10.186Z	479809	479805	awk	awk -v OFS=\t {print "tcp",$0} 
2026-09-14T00:21:10.388Z	479812	479568	sleep	sleep 0.2 
2026-09-14T00:21:10.590Z	479821	479568	sleep	sleep 0.2 
2026-09-14T00:21:10.792Z	479830	479568	sleep	sleep 0.2 
2026-09-14T00:21:10.994Z	479845	479549	sleep	sleep 3 
2026-09-14T00:21:10.994Z	479854	479568	sleep	sleep 0.2 
2026-09-14T00:21:11.196Z	479863	479568	sleep	sleep 0.2 
2026-09-14T00:21:11.398Z	479872	479568	sleep	sleep 0.2 
