first_seen	pid	ppid	comm	cmdline
2026-09-14T00:16:54.052Z	470633	469550	bash	bash /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/run.sh A probe 
2026-09-14T00:16:54.052Z	470642	470633	mitmdump	/usr/bin/python3 /usr/bin/mitmdump --listen-host 127.0.0.1 --listen-port 8081 --set confdir=/tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd
2026-09-14T00:16:54.052Z	470652	470633	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/A/soc
2026-09-14T00:16:54.052Z	470711	470652	sleep	sleep 0.2 
2026-09-14T00:16:54.052Z	470714	470633	warp-oss	/home/effatha/git/warp/target/release/warp-oss --warpctrl acp probe --command /home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88
2026-09-14T00:16:54.052Z	470715	470633	python3	python3 -u /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/ts.py 
2026-09-14T00:16:54.052Z	470716	470633	python3	python3 /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/proctree.py 470633 /tmp/claude-1000/-home-effatha-git-warp/c5
2026-09-14T00:16:54.052Z	470717	470714	MainThread	/home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@agentclientprotocol/claude-agent-acp/dist/index.js 
2026-09-14T00:16:54.254Z	470734	470652	sleep	sleep 0.2 
2026-09-14T00:16:54.254Z	470736	470717	reg.exe	/init /mnt/c/Windows/System32/reg.exe /mnt/c/Windows/System32/reg.exe query HKCU\SOFTWARE\Policies\ClaudeCode /v Settings 
2026-09-14T00:16:54.457Z	470750	470717	claude	/home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@anthropic-ai/claude-agent-sdk-linux-x64/claude --output-format stream-json --verbose --input-format strea
2026-09-14T00:16:54.457Z	470763	470652	sleep	sleep 0.2 
2026-09-14T00:16:54.457Z	470767	470750	git	
2026-09-14T00:16:54.659Z	470826	470750	powershell.exe	/init /mnt/c/Windows/System32/WindowsPowerShell/v1.0/powershell.exe powershell.exe -NoProfile -NonInteractive -Command $env:USERPROFILE 
2026-09-14T00:16:54.659Z	470833	470652	sleep	sleep 0.2 
2026-09-14T00:16:54.862Z	470876	470652	sleep	sleep 0.2 
2026-09-14T00:16:55.064Z	470878	470652	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/A/soc
2026-09-14T00:16:55.064Z	470879	470652	grep	grep -E warp-oss|remote-server|terminal-server|claude|node|MainThread|npx|rust-analyzer 
2026-09-14T00:16:55.064Z	470880	470652	awk	awk -v ts=2026-09-14T00:16:55.037Z -v n=11 -v OFS=\t {print ts,$0,n} 
2026-09-14T00:16:55.064Z	470883	470878	ss	ss -Hunp 
2026-09-14T00:16:55.064Z	470884	470878	awk	awk -v OFS=\t {print "udp",$0} 
