first_seen	pid	ppid	comm	cmdline
2026-09-14T00:13:11.853Z	464605	464603	bash	bash /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/run.sh A0-noproxy probe HTTPS_PROXY=UNSET HTTP_PROXY=UNSET NODE_
2026-09-14T00:13:11.853Z	464614	464605	mitmdump	/usr/bin/python3 /usr/bin/mitmdump --listen-host 127.0.0.1 --listen-port 8081 --set confdir=/tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd
2026-09-14T00:13:11.853Z	464624	464605	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/A0-no
2026-09-14T00:13:11.853Z	464683	464624	sleep	sleep 0.2 
2026-09-14T00:13:11.853Z	464686	464605	warp-oss	/home/effatha/git/warp/target/release/warp-oss --warpctrl acp probe --command /home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88
2026-09-14T00:13:11.853Z	464687	464605	python3	python3 -u /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/ts.py 
2026-09-14T00:13:11.853Z	464688	464605	python3	python3 /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/proctree.py 464605 /tmp/claude-1000/-home-effatha-git-warp/c5
2026-09-14T00:13:11.853Z	464689	464686	MainThread	/home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@agentclientprotocol/claude-agent-acp/dist/index.js 
2026-09-14T00:13:12.055Z	464706	464624	sleep	sleep 0.2 
2026-09-14T00:13:12.055Z	464708	464689	reg.exe	/init /mnt/c/Windows/System32/reg.exe /mnt/c/Windows/System32/reg.exe query HKCU\SOFTWARE\Policies\ClaudeCode /v Settings 
2026-09-14T00:13:12.257Z	464722	464689	claude	/home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@anthropic-ai/claude-agent-sdk-linux-x64/claude --output-format stream-json --verbose --input-format strea
2026-09-14T00:13:12.257Z	464735	464624	sleep	sleep 0.2 
2026-09-14T00:13:12.461Z	464768	464722	powershell.exe	/init /mnt/c/Windows/System32/WindowsPowerShell/v1.0/powershell.exe powershell.exe -NoProfile -NonInteractive -Command $env:USERPROFILE 
2026-09-14T00:13:12.461Z	464778	464624	sleep	sleep 0.2 
2026-09-14T00:13:12.663Z	464837	464624	sleep	sleep 0.2 
