first_seen	pid	ppid	comm	cmdline
2026-09-14T00:18:02.367Z	472989	472372	bash	bash /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/run.sh B-empty probe CLAUDE_CONFIG_DIR=/tmp/claude-1000/-home-ef
2026-09-14T00:18:02.367Z	472998	472989	mitmdump	/usr/bin/python3 /usr/bin/mitmdump --listen-host 127.0.0.1 --listen-port 8081 --set confdir=/tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd
2026-09-14T00:18:02.367Z	473008	472989	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/B-emp
2026-09-14T00:18:02.367Z	473067	473008	sleep	sleep 0.2 
2026-09-14T00:18:02.367Z	473070	472989	warp-oss	/home/effatha/git/warp/target/release/warp-oss --warpctrl acp probe --command /home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88
2026-09-14T00:18:02.367Z	473071	472989	python3	python3 -u /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/ts.py 
2026-09-14T00:18:02.367Z	473072	472989	python3	python3 /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/proctree.py 472989 /tmp/claude-1000/-home-effatha-git-warp/c5
2026-09-14T00:18:02.367Z	473073	473070	MainThread	/home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@agentclientprotocol/claude-agent-acp/dist/index.js 
2026-09-14T00:18:02.569Z	473090	473008	sleep	sleep 0.2 
2026-09-14T00:18:02.569Z	473092	473073	reg.exe	/init /mnt/c/Windows/System32/reg.exe /mnt/c/Windows/System32/reg.exe query HKCU\SOFTWARE\Policies\ClaudeCode /v Settings 
2026-09-14T00:18:02.771Z	473102	473073	claude	/home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@anthropic-ai/claude-agent-sdk-linux-x64/claude --output-format stream-json --verbose --input-format strea
2026-09-14T00:18:02.771Z	473120	473008	sleep	sleep 0.2 
2026-09-14T00:18:02.975Z	473153	473008	sleep	sleep 0.2 
2026-09-14T00:18:03.177Z	473160	473102	claude	
2026-09-14T00:18:03.177Z	473175	473102	claude	
2026-09-14T00:18:03.177Z	473176	473102	claude	
2026-09-14T00:18:03.177Z	473179	473008	sleep	sleep 0.2 
2026-09-14T00:18:03.177Z	473180	473102	powershell.exe	/init /mnt/c/Windows/System32/WindowsPowerShell/v1.0/powershell.exe powershell.exe -NoProfile -NonInteractive -Command $env:USERPROFILE 
2026-09-14T00:18:03.379Z	473192	473008	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/B-emp
2026-09-14T00:18:03.379Z	473193	473008	grep	grep -E warp-oss|remote-server|terminal-server|claude|node|MainThread|npx|rust-analyzer 
2026-09-14T00:18:03.379Z	473195	473008	awk	awk -v ts=2026-09-14T00:18:03.357Z -v n=11 -v OFS=\t {print ts,$0,n} 
2026-09-14T00:18:03.379Z	473197	473192	ss	ss -Hunp 
2026-09-14T00:18:03.379Z	473198	473192	awk	awk -v OFS=\t {print "udp",$0} 
2026-09-14T00:18:03.582Z	473199	473008	sleep	sleep 0.2 
