first_seen	pid	ppid	comm	cmdline
2026-09-14T00:18:37.225Z	474504	472372	bash	bash /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/run.sh B-trusted-nocreds probe CLAUDE_CONFIG_DIR=/tmp/claude-100
2026-09-14T00:18:37.225Z	474513	474504	mitmdump	/usr/bin/python3 /usr/bin/mitmdump --listen-host 127.0.0.1 --listen-port 8081 --set confdir=/tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd
2026-09-14T00:18:37.225Z	474523	474504	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/B-tru
2026-09-14T00:18:37.225Z	474601	474523	sleep	sleep 0.2 
2026-09-14T00:18:37.225Z	474604	474504	warp-oss	/home/effatha/git/warp/target/release/warp-oss --warpctrl acp probe --command /home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88
2026-09-14T00:18:37.225Z	474605	474504	python3	python3 -u /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/ts.py 
2026-09-14T00:18:37.225Z	474606	474504	python3	python3 /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/proctree.py 474504 /tmp/claude-1000/-home-effatha-git-warp/c5
2026-09-14T00:18:37.225Z	474607	474604	MainThread	/home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@agentclientprotocol/claude-agent-acp/dist/index.js 
2026-09-14T00:18:37.427Z	474624	474523	sleep	sleep 0.2 
2026-09-14T00:18:37.427Z	474626	474607	reg.exe	/init /mnt/c/Windows/System32/reg.exe /mnt/c/Windows/System32/reg.exe query HKCU\SOFTWARE\Policies\ClaudeCode /v Settings 
