first_seen	pid	ppid	comm	cmdline
2026-09-14T00:32:06.321Z	500595	500591	bash	bash /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/run.sh D-project-override probe HTTPS_PROXY=http://127.0.0.1:9 H
2026-09-14T00:32:06.321Z	500604	500595	mitmdump	/usr/bin/python3 /usr/bin/mitmdump --listen-host 127.0.0.1 --listen-port 8081 --set confdir=/tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd
2026-09-14T00:32:06.321Z	500614	500595	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/D-pro
2026-09-14T00:32:06.321Z	500742	500614	sleep	sleep 0.2 
2026-09-14T00:32:06.321Z	500745	500595	warp-oss	/home/effatha/git/warp/target/release/warp-oss --warpctrl acp probe --command /home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88
2026-09-14T00:32:06.321Z	500746	500595	python3	python3 -u /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/ts.py 
2026-09-14T00:32:06.321Z	500747	500595	python3	python3 /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/proctree.py 500595 /tmp/claude-1000/-home-effatha-git-warp/c5
2026-09-14T00:32:06.321Z	500748	500745	MainThread	/home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@agentclientprotocol/claude-agent-acp/dist/index.js 
2026-09-14T00:32:06.524Z	500765	500614	sleep	sleep 0.2 
2026-09-14T00:32:06.727Z	500780	500748	claude	/home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@anthropic-ai/claude-agent-sdk-linux-x64/claude --output-format stream-json --verbose --input-format strea
2026-09-14T00:32:06.727Z	500795	500614	sleep	sleep 0.2 
2026-09-14T00:32:06.929Z	500825	500780	powershell.exe	/init /mnt/c/Windows/System32/WindowsPowerShell/v1.0/powershell.exe powershell.exe -NoProfile -NonInteractive -Command $env:USERPROFILE 
2026-09-14T00:32:06.929Z	500841	500614	sleep	sleep 0.2 
2026-09-14T00:32:07.132Z	500877	500614	sleep	sleep 0.2 
2026-09-14T00:32:07.334Z	500928	500614	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/D-pro
