first_seen	pid	ppid	comm	cmdline
2026-09-14T00:21:43.849Z	481432	477755	bash	bash /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/run.sh D-warm2 probe HTTPS_PROXY=http://127.0.0.1:9 HTTP_PROXY=h
2026-09-14T00:21:43.849Z	481441	481432	mitmdump	/usr/bin/python3 /usr/bin/mitmdump --listen-host 127.0.0.1 --listen-port 8081 --set confdir=/tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd
2026-09-14T00:21:43.849Z	481451	481432	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/D-war
2026-09-14T00:21:43.849Z	481510	481451	sleep	sleep 0.2 
2026-09-14T00:21:43.849Z	481513	481432	warp-oss	/home/effatha/git/warp/target/release/warp-oss --warpctrl acp probe --command /home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88
2026-09-14T00:21:43.849Z	481514	481432	python3	python3 -u /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/ts.py 
2026-09-14T00:21:43.849Z	481515	481432	python3	python3 /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/proctree.py 481432 /tmp/claude-1000/-home-effatha-git-warp/c5
2026-09-14T00:21:43.849Z	481516	481513	MainThread	/home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@agentclientprotocol/claude-agent-acp/dist/index.js 
2026-09-14T00:21:44.052Z	481533	481451	sleep	sleep 0.2 
2026-09-14T00:21:44.254Z	481548	481516	claude	/home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@anthropic-ai/claude-agent-sdk-linux-x64/claude --output-format stream-json --verbose --input-format strea
2026-09-14T00:21:44.254Z	481563	481451	sleep	sleep 0.2 
2026-09-14T00:21:44.254Z	481565	481548	git	
2026-09-14T00:21:44.456Z	481610	481548	powershell.exe	/init /mnt/c/Windows/System32/WindowsPowerShell/v1.0/powershell.exe powershell.exe -NoProfile -NonInteractive -Command $env:USERPROFILE 
2026-09-14T00:21:44.456Z	481625	481451	sleep	sleep 0.2 
2026-09-14T00:21:44.658Z	481664	481451	sleep	sleep 0.2 
2026-09-14T00:21:44.860Z	481673	481451	sleep	sleep 0.2 
2026-09-14T00:21:45.062Z	481675	481451	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/D-war
2026-09-14T00:21:45.062Z	481676	481451	grep	grep -E warp-oss|remote-server|terminal-server|claude|node|MainThread|npx|rust-analyzer 
2026-09-14T00:21:45.062Z	481677	481675	ss	ss -Htnp state all 
2026-09-14T00:21:45.062Z	481678	481451	awk	awk -v ts=2026-09-14T00:21:45.055Z -v n=12 -v OFS=\t {print ts,$0,n} 
2026-09-14T00:21:45.062Z	481679	481675	awk	awk -v OFS=\t {print "tcp",$0} 
2026-09-14T00:21:45.264Z	481682	481451	sleep	sleep 0.2 
2026-09-14T00:21:45.466Z	481691	481451	sleep	sleep 0.2 
2026-09-14T00:21:45.668Z	481700	481451	sleep	sleep 0.2 
