first_seen	pid	ppid	comm	cmdline
2026-09-14T00:19:21.424Z	476598	472372	bash	bash /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/run.sh D probe HTTPS_PROXY=http://127.0.0.1:9 HTTP_PROXY=http://
2026-09-14T00:19:21.424Z	476607	476598	mitmdump	/usr/bin/python3 /usr/bin/mitmdump --listen-host 127.0.0.1 --listen-port 8081 --set confdir=/tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd
2026-09-14T00:19:21.424Z	476617	476598	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/D/soc
2026-09-14T00:19:21.424Z	476695	476617	sleep	sleep 0.2 
2026-09-14T00:19:21.424Z	476698	476598	warp-oss	/home/effatha/git/warp/target/release/warp-oss --warpctrl acp probe --command /home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88
2026-09-14T00:19:21.424Z	476699	476598	python3	python3 -u /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/ts.py 
2026-09-14T00:19:21.424Z	476700	476598	python3	python3 /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/proctree.py 476598 /tmp/claude-1000/-home-effatha-git-warp/c5
2026-09-14T00:19:21.424Z	476701	476698	MainThread	/home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@agentclientprotocol/claude-agent-acp/dist/index.js 
2026-09-14T00:19:21.626Z	476718	476617	sleep	sleep 0.2 
2026-09-14T00:19:21.626Z	476720	476701	reg.exe	/init /mnt/c/Windows/System32/reg.exe /mnt/c/Windows/System32/reg.exe query HKCU\SOFTWARE\Policies\ClaudeCode /v Settings 
2026-09-14T00:19:21.829Z	476733	476701	claude	/home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@anthropic-ai/claude-agent-sdk-linux-x64/claude --output-format stream-json --verbose --input-format strea
2026-09-14T00:19:21.829Z	476746	476617	sleep	sleep 0.2 
2026-09-14T00:19:22.031Z	476756	476733	git	
2026-09-14T00:19:22.031Z	476757	476733	git	
2026-09-14T00:19:22.031Z	476758	476733	git	
2026-09-14T00:19:22.031Z	476773	476733	claude	
2026-09-14T00:19:22.031Z	476803	476733	powershell.exe	/init /mnt/c/Windows/System32/WindowsPowerShell/v1.0/powershell.exe powershell.exe -NoProfile -NonInteractive -Command $env:USERPROFILE 
2026-09-14T00:19:22.031Z	476804	476617	sleep	sleep 0.2 
2026-09-14T00:19:22.031Z	476806	476733	sh	/bin/sh -c ${CLAUDE_PLUGIN_ROOT}/scripts/on-session-start.sh 
2026-09-14T00:19:22.234Z	476849	476617	sleep	sleep 0.2 
2026-09-14T00:19:22.436Z	476851	476617	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/D/soc
2026-09-14T00:19:22.436Z	476852	476617	grep	grep -E warp-oss|remote-server|terminal-server|claude|node|MainThread|npx|rust-analyzer 
2026-09-14T00:19:22.436Z	476853	476851	ss	ss -Htnp state all 
2026-09-14T00:19:22.436Z	476854	476617	awk	awk -v ts=2026-09-14T00:19:22.430Z -v n=11 -v OFS=\t {print ts,$0,n} 
2026-09-14T00:19:22.436Z	476855	476851	awk	awk -v OFS=\t {print "tcp",$0} 
2026-09-14T00:19:22.638Z	476858	476617	sleep	sleep 0.2 
2026-09-14T00:19:22.840Z	476867	476617	sleep	sleep 0.2 
2026-09-14T00:19:23.042Z	476876	476617	sleep	sleep 0.2 
2026-09-14T00:19:23.244Z	476885	476617	sleep	sleep 0.2 
2026-09-14T00:19:23.446Z	476894	476617	sleep	sleep 0.2 
2026-09-14T00:19:23.648Z	476903	476617	sleep	sleep 0.2 
2026-09-14T00:19:23.851Z	476912	476617	sleep	sleep 0.2 
