first_seen	pid	ppid	comm	cmdline
2026-09-14T00:20:56.544Z	478792	477755	bash	bash /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/run.sh E multi 
2026-09-14T00:20:56.544Z	478801	478792	mitmdump	/usr/bin/python3 /usr/bin/mitmdump --listen-host 127.0.0.1 --listen-port 8081 --set confdir=/tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd
2026-09-14T00:20:56.544Z	478811	478792	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/E/soc
2026-09-14T00:20:56.544Z	478871	478811	sleep	sleep 0.2 
2026-09-14T00:20:56.544Z	478874	478792	python3	python3 -u /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/multiturn.py /home/effatha/.nvm/versions/node/v24.5.0/bin/
2026-09-14T00:20:56.544Z	478875	478792	python3	python3 -u /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/ts.py 
2026-09-14T00:20:56.544Z	478876	478792	python3	python3 /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/proctree.py 478792 /tmp/claude-1000/-home-effatha-git-warp/c5
2026-09-14T00:20:56.746Z	478877	478874	MainThread	/home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@agentclientprotocol/claude-agent-acp/dist/index.js 
2026-09-14T00:20:56.746Z	478892	478811	sleep	sleep 0.2 
2026-09-14T00:20:56.746Z	478894	478877	reg.exe	/init /mnt/c/Windows/System32/reg.exe /mnt/c/Windows/System32/reg.exe query HKCU\SOFTWARE\Policies\ClaudeCode /v Settings 
2026-09-14T00:20:56.949Z	478914	478877	claude	/home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@anthropic-ai/claude-agent-sdk-linux-x64/claude --output-format stream-json --verbose --input-format strea
2026-09-14T00:20:56.949Z	478919	478811	sleep	sleep 0.2 
2026-09-14T00:20:57.151Z	478960	478811	sleep	sleep 0.2 
2026-09-14T00:20:57.151Z	478983	478914	powershell.exe	/init /mnt/c/Windows/System32/WindowsPowerShell/v1.0/powershell.exe powershell.exe -NoProfile -NonInteractive -Command $env:USERPROFILE 
2026-09-14T00:20:57.353Z	479022	478811	sleep	sleep 0.2 
2026-09-14T00:20:57.555Z	479039	478811	sleep	sleep 0.2 
2026-09-14T00:20:57.758Z	479048	478811	sleep	sleep 0.2 
2026-09-14T00:20:57.960Z	479057	478811	sleep	sleep 0.2 
2026-09-14T00:20:58.163Z	479078	478811	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/E/soc
2026-09-14T00:20:58.163Z	479079	478811	grep	grep -E warp-oss|remote-server|terminal-server|claude|node|MainThread|npx|rust-analyzer 
2026-09-14T00:20:58.163Z	479080	479078	ss	ss -Htnp state all 
2026-09-14T00:20:58.163Z	479081	478811	awk	awk -v ts=2026-09-14T00:20:58.158Z -v n=14 -v OFS=\t {print ts,$0,n} 
2026-09-14T00:20:58.163Z	479082	479078	awk	awk -v OFS=\t {print "tcp",$0} 
2026-09-14T00:20:58.365Z	479085	478811	sleep	sleep 0.2 
2026-09-14T00:20:58.567Z	479094	478811	sleep	sleep 0.2 
2026-09-14T00:20:58.567Z	479108	478914	sh	/bin/sh -c workmux set-window-status working 
2026-09-14T00:20:58.769Z	479129	478811	sleep	sleep 0.2 
2026-09-14T00:20:58.972Z	479138	478811	sleep	sleep 0.2 
2026-09-14T00:20:59.174Z	479147	478811	sleep	sleep 0.2 
2026-09-14T00:20:59.376Z	479156	478811	sleep	sleep 0.2 
2026-09-14T00:20:59.578Z	479165	478811	sleep	sleep 0.2 
2026-09-14T00:20:59.780Z	479174	478811	sleep	sleep 0.2 
2026-09-14T00:20:59.982Z	479183	478811	sleep	sleep 0.2 
2026-09-14T00:21:00.184Z	479185	478811	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/E/soc
2026-09-14T00:21:00.184Z	479186	478811	grep	grep -E warp-oss|remote-server|terminal-server|claude|node|MainThread|npx|rust-analyzer 
2026-09-14T00:21:00.184Z	479188	478811	awk	awk -v ts=2026-09-14T00:21:00.161Z -v n=23 -v OFS=\t {print ts,$0,n} 
2026-09-14T00:21:00.184Z	479190	479185	ss	ss -Hunp 
2026-09-14T00:21:00.184Z	479191	479185	awk	awk -v OFS=\t {print "udp",$0} 
2026-09-14T00:21:00.589Z	479201	478811	sleep	sleep 0.2 
