first_seen	pid	ppid	comm	cmdline
2026-09-14T00:30:16.920Z	498597	495953	bash	bash /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/run.sh F-flagset-webfetch webfetch 
2026-09-14T00:30:16.920Z	498606	498597	mitmdump	/usr/bin/python3 /usr/bin/mitmdump --listen-host 127.0.0.1 --listen-port 8081 --set confdir=/tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd
2026-09-14T00:30:16.920Z	498616	498597	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/F-fla
2026-09-14T00:30:16.920Z	498675	498616	sleep	sleep 0.2 
2026-09-14T00:30:16.920Z	498678	498597	warp-oss	/home/effatha/git/warp/target/release/warp-oss --warpctrl acp probe --command /home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88
2026-09-14T00:30:16.920Z	498679	498597	python3	python3 -u /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/ts.py 
2026-09-14T00:30:16.920Z	498680	498597	python3	python3 /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/proctree.py 498597 /tmp/claude-1000/-home-effatha-git-warp/c5
2026-09-14T00:30:16.920Z	498681	498678	MainThread	/home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@agentclientprotocol/claude-agent-acp/dist/index.js 
2026-09-14T00:30:17.122Z	498698	498616	sleep	sleep 0.2 
2026-09-14T00:30:17.324Z	498714	498681	claude	/home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@anthropic-ai/claude-agent-sdk-linux-x64/claude --output-format stream-json --verbose --input-format strea
2026-09-14T00:30:17.324Z	498727	498616	sleep	sleep 0.2 
2026-09-14T00:30:17.324Z	498732	498714	git	
2026-09-14T00:30:17.527Z	498751	498714	powershell.exe	/init /mnt/c/Windows/System32/WindowsPowerShell/v1.0/powershell.exe powershell.exe -NoProfile -NonInteractive -Command $env:USERPROFILE 
2026-09-14T00:30:17.527Z	498772	498616	sleep	sleep 0.2 
2026-09-14T00:30:17.527Z	498773	498714	sh	/bin/sh -c workmux set-window-status working 
2026-09-14T00:30:17.729Z	498809	498616	sleep	sleep 0.2 
2026-09-14T00:30:17.931Z	498818	498616	sleep	sleep 0.2 
2026-09-14T00:30:18.133Z	498847	498616	sleep	sleep 0.2 
2026-09-14T00:30:18.335Z	498856	498616	sleep	sleep 0.2 
2026-09-14T00:30:18.537Z	498858	498616	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/F-fla
2026-09-14T00:30:18.537Z	498859	498616	grep	grep -E warp-oss|remote-server|terminal-server|claude|node|MainThread|npx|rust-analyzer 
2026-09-14T00:30:18.537Z	498860	498858	ss	ss -Htnp state all 
2026-09-14T00:30:18.537Z	498861	498616	awk	awk -v ts=2026-09-14T00:30:18.532Z -v n=14 -v OFS=\t {print ts,$0,n} 
2026-09-14T00:30:18.537Z	498862	498858	awk	awk -v OFS=\t {print "tcp",$0} 
2026-09-14T00:30:18.739Z	498865	498616	sleep	sleep 0.2 
2026-09-14T00:30:18.941Z	498874	498616	sleep	sleep 0.2 
2026-09-14T00:30:19.143Z	498883	498616	sleep	sleep 0.2 
2026-09-14T00:30:19.345Z	498892	498616	sleep	sleep 0.2 
2026-09-14T00:30:19.547Z	498901	498616	sleep	sleep 0.2 
2026-09-14T00:30:19.749Z	498910	498616	sleep	sleep 0.2 
2026-09-14T00:30:19.951Z	498919	498616	sleep	sleep 0.2 
2026-09-14T00:30:20.153Z	498928	498616	sleep	sleep 0.2 
2026-09-14T00:30:20.355Z	498937	498616	sleep	sleep 0.2 
2026-09-14T00:30:20.759Z	498948	498616	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/F-fla
2026-09-14T00:30:20.759Z	498949	498616	grep	grep -E warp-oss|remote-server|terminal-server|claude|node|MainThread|npx|rust-analyzer 
2026-09-14T00:30:20.759Z	498950	498948	ss	ss -Htnp state all 
