first_seen	pid	ppid	comm	cmdline
2026-09-14T00:25:13.821Z	488177	483037	bash	bash /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/run.sh F-webfetch-skip webfetch 
2026-09-14T00:25:13.821Z	488186	488177	mitmdump	/usr/bin/python3 /usr/bin/mitmdump --listen-host 127.0.0.1 --listen-port 8081 --set confdir=/tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd
2026-09-14T00:25:13.821Z	488196	488177	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/F-web
2026-09-14T00:25:13.821Z	488256	488196	sleep	sleep 0.2 
2026-09-14T00:25:13.821Z	488259	488177	warp-oss	/home/effatha/git/warp/target/release/warp-oss --warpctrl acp probe --command /home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88
2026-09-14T00:25:13.821Z	488260	488177	python3	python3 -u /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/ts.py 
2026-09-14T00:25:13.821Z	488261	488177	python3	python3 /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/proctree.py 488177 /tmp/claude-1000/-home-effatha-git-warp/c5
2026-09-14T00:25:13.821Z	488262	488259	MainThread	/home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@agentclientprotocol/claude-agent-acp/dist/index.js 
2026-09-14T00:25:14.023Z	488279	488196	sleep	sleep 0.2 
2026-09-14T00:25:14.023Z	488281	488262	reg.exe	/init /mnt/c/Windows/System32/reg.exe /mnt/c/Windows/System32/reg.exe query HKCU\SOFTWARE\Policies\ClaudeCode /v Settings 
2026-09-14T00:25:14.225Z	488295	488262	claude	/home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@anthropic-ai/claude-agent-sdk-linux-x64/claude --output-format stream-json --verbose --input-format strea
2026-09-14T00:25:14.225Z	488308	488196	sleep	sleep 0.2 
2026-09-14T00:25:14.431Z	488351	488196	sleep	sleep 0.2 
2026-09-14T00:25:14.431Z	488366	488295	powershell.exe	/init /mnt/c/Windows/System32/WindowsPowerShell/v1.0/powershell.exe powershell.exe -NoProfile -NonInteractive -Command $env:USERPROFILE 
2026-09-14T00:25:14.633Z	488406	488196	sleep	sleep 0.2 
2026-09-14T00:25:14.835Z	488423	488196	sleep	sleep 0.2 
2026-09-14T00:25:15.038Z	488432	488196	sleep	sleep 0.2 
2026-09-14T00:25:15.240Z	488441	488196	sleep	sleep 0.2 
2026-09-14T00:25:15.442Z	488463	488196	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/F-web
2026-09-14T00:25:15.442Z	488464	488196	grep	grep -E warp-oss|remote-server|terminal-server|claude|node|MainThread|npx|rust-analyzer 
2026-09-14T00:25:15.442Z	488465	488463	ss	ss -Htnp state all 
2026-09-14T00:25:15.442Z	488466	488196	awk	awk -v ts=2026-09-14T00:25:15.435Z -v n=14 -v OFS=\t {print ts,$0,n} 
2026-09-14T00:25:15.442Z	488467	488463	awk	awk -v OFS=\t {print "tcp",$0} 
2026-09-14T00:25:15.644Z	488470	488196	sleep	sleep 0.2 
2026-09-14T00:25:15.846Z	488479	488196	sleep	sleep 0.2 
2026-09-14T00:25:16.048Z	488488	488196	sleep	sleep 0.2 
2026-09-14T00:25:16.250Z	488498	488196	sleep	sleep 0.2 
2026-09-14T00:25:16.453Z	488507	488196	sleep	sleep 0.2 
2026-09-14T00:25:16.655Z	488516	488196	sleep	sleep 0.2 
2026-09-14T00:25:16.857Z	488525	488196	sleep	sleep 0.2 
2026-09-14T00:25:17.061Z	488534	488196	sleep	sleep 0.2 
2026-09-14T00:25:17.263Z	488543	488196	sleep	sleep 0.2 
2026-09-14T00:25:17.465Z	488552	488196	sleep	sleep 0.2 
