first_seen	pid	ppid	comm	cmdline
2026-09-14T00:24:02.979Z	485130	483037	bash	bash /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/run.sh F-webfetch webfetch 
2026-09-14T00:24:02.979Z	485139	485130	mitmdump	/usr/bin/python3 /usr/bin/mitmdump --listen-host 127.0.0.1 --listen-port 8081 --set confdir=/tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd
2026-09-14T00:24:02.979Z	485150	485130	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/F-web
2026-09-14T00:24:02.979Z	485209	485150	sleep	sleep 0.2 
2026-09-14T00:24:02.979Z	485212	485130	warp-oss	/home/effatha/git/warp/target/release/warp-oss --warpctrl acp probe --command /home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88
2026-09-14T00:24:02.979Z	485213	485130	python3	python3 -u /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/ts.py 
2026-09-14T00:24:02.979Z	485214	485130	python3	python3 /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/proctree.py 485130 /tmp/claude-1000/-home-effatha-git-warp/c5
2026-09-14T00:24:02.979Z	485215	485212	MainThread	/home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@agentclientprotocol/claude-agent-acp/dist/index.js 
2026-09-14T00:24:03.182Z	485232	485150	sleep	sleep 0.2 
2026-09-14T00:24:03.384Z	485248	485215	claude	/home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@anthropic-ai/claude-agent-sdk-linux-x64/claude --output-format stream-json --verbose --input-format strea
2026-09-14T00:24:03.384Z	485261	485150	sleep	sleep 0.2 
2026-09-14T00:24:03.384Z	485265	485248	git	
2026-09-14T00:24:03.587Z	485324	485150	sleep	sleep 0.2 
2026-09-14T00:24:03.587Z	485325	485248	powershell.exe	/init /mnt/c/Windows/System32/WindowsPowerShell/v1.0/powershell.exe powershell.exe -NoProfile -NonInteractive -Command $env:USERPROFILE 
2026-09-14T00:24:03.789Z	485372	485150	sleep	sleep 0.2 
2026-09-14T00:24:03.991Z	485381	485150	sleep	sleep 0.2 
2026-09-14T00:24:04.194Z	485383	485150	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/F-web
2026-09-14T00:24:04.194Z	485384	485150	grep	grep -E warp-oss|remote-server|terminal-server|claude|node|MainThread|npx|rust-analyzer 
2026-09-14T00:24:04.194Z	485385	485383	ss	ss -Htnp state all 
2026-09-14T00:24:04.194Z	485386	485150	awk	awk -v ts=2026-09-14T00:24:04.180Z -v n=12 -v OFS=\t {print ts,$0,n} 
2026-09-14T00:24:04.194Z	485387	485383	awk	awk -v OFS=\t {print "tcp",$0} 
2026-09-14T00:24:04.396Z	485390	485150	sleep	sleep 0.2 
2026-09-14T00:24:04.598Z	485399	485150	sleep	sleep 0.2 
2026-09-14T00:24:04.800Z	485408	485150	sleep	sleep 0.2 
2026-09-14T00:24:05.002Z	485417	485150	sleep	sleep 0.2 
2026-09-14T00:24:05.205Z	485426	485150	sleep	sleep 0.2 
2026-09-14T00:24:05.407Z	485435	485150	sleep	sleep 0.2 
2026-09-14T00:24:05.609Z	485444	485150	sleep	sleep 0.2 
2026-09-14T00:24:05.812Z	485453	485150	sleep	sleep 0.2 
2026-09-14T00:24:06.014Z	485462	485150	sleep	sleep 0.2 
2026-09-14T00:24:06.622Z	485480	485150	sleep	sleep 0.2 
2026-09-14T00:24:06.824Z	485489	485150	sleep	sleep 0.2 
2026-09-14T00:24:07.027Z	485498	485150	sleep	sleep 0.2 
2026-09-14T00:24:07.229Z	485507	485150	sleep	sleep 0.2 
2026-09-14T00:24:07.431Z	485516	485150	sleep	sleep 0.2 
2026-09-14T00:24:07.633Z	485525	485150	sleep	sleep 0.2 
2026-09-14T00:24:07.835Z	485534	485150	sleep	sleep 0.2 
2026-09-14T00:24:08.037Z	485543	485150	sleep	sleep 0.2 
2026-09-14T00:24:08.239Z	485552	485150	sleep	sleep 0.2 
2026-09-14T00:24:08.845Z	485571	485150	sleep	sleep 0.2 
2026-09-14T00:24:09.047Z	485580	485150	sleep	sleep 0.2 
2026-09-14T00:24:09.249Z	485589	485150	sleep	sleep 0.2 
2026-09-14T00:24:09.451Z	485598	485150	sleep	sleep 0.2 
2026-09-14T00:24:09.654Z	485607	485150	sleep	sleep 0.2 
2026-09-14T00:24:09.856Z	485616	485150	sleep	sleep 0.2 
2026-09-14T00:24:10.058Z	485625	485150	sleep	sleep 0.2 
2026-09-14T00:24:10.260Z	485634	485150	sleep	sleep 0.2 
2026-09-14T00:24:10.462Z	485662	485150	sleep	sleep 0.2 
2026-09-14T00:24:11.069Z	485680	485150	sleep	sleep 0.2 
2026-09-14T00:24:11.271Z	485689	485150	sleep	sleep 0.2 
2026-09-14T00:24:11.473Z	485698	485150	sleep	sleep 0.2 
2026-09-14T00:24:11.675Z	485707	485150	sleep	sleep 0.2 
2026-09-14T00:24:11.878Z	485708	485248	git	/usr/bin/git -c core.fsmonitor= -c core.hooksPath=/dev/null -c core.askPass= -c submodule.recurse=false -c log.showSignature=false -c core.sshCommand=ssh -o Bat
2026-09-14T00:24:11.878Z	485709	485248	git	/usr/bin/git -c core.fsmonitor= -c core.hooksPath=/dev/null -c core.askPass= -c submodule.recurse=false -c log.showSignature=false -c core.sshCommand=ssh -o Bat
2026-09-14T00:24:11.878Z	485710	485248	git	/usr/bin/git -c core.fsmonitor= -c core.hooksPath=/dev/null -c core.askPass= -c submodule.recurse=false -c log.showSignature=false -c core.sshCommand=ssh -o Bat
2026-09-14T00:24:11.878Z	485711	485709	git	/usr/lib/git-core/git remote-https origin https://github.com/getsentry/plugin-claude.git 
2026-09-14T00:24:11.878Z	485712	485708	git	/usr/lib/git-core/git remote-https origin https://github.com/greptileai/claude-plugin.git 
2026-09-14T00:24:11.878Z	485713	485710	git	/usr/lib/git-core/git remote-https origin https://github.com/mattpocock/skills.git 
2026-09-14T00:24:11.878Z	485714	485712	git-remote-http	/usr/lib/git-core/git-remote-https origin https://github.com/greptileai/claude-plugin.git 
2026-09-14T00:24:11.878Z	485715	485713	git-remote-http	/usr/lib/git-core/git-remote-https origin https://github.com/mattpocock/skills.git 
2026-09-14T00:24:11.878Z	485716	485711	git-remote-http	/usr/lib/git-core/git-remote-https origin https://github.com/getsentry/plugin-claude.git 
2026-09-14T00:24:11.878Z	485725	485150	sleep	sleep 0.2 
2026-09-14T00:24:12.080Z	485734	485150	sleep	sleep 0.2 
2026-09-14T00:24:12.282Z	485743	485150	sleep	sleep 0.2 
2026-09-14T00:24:12.484Z	485752	485150	sleep	sleep 0.2 
2026-09-14T00:24:12.686Z	485761	485150	sleep	sleep 0.2 
2026-09-14T00:24:12.888Z	485770	485150	sleep	sleep 0.2 
2026-09-14T00:24:15.497Z	485772	485150	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/F-web
2026-09-14T00:24:15.497Z	485773	485150	grep	grep -E warp-oss|remote-server|terminal-server|claude|node|MainThread|npx|rust-analyzer 
2026-09-14T00:24:15.497Z	485774	485772	ss	ss -Htnp state all 
2026-09-14T00:24:15.497Z	485775	485150	awk	awk -v ts=2026-09-14T00:24:15.494Z -v n=52 -v OFS=\t {print ts,$0,n} 
2026-09-14T00:24:15.497Z	485776	485772	awk	awk -v OFS=\t {print "tcp",$0} 
2026-09-14T00:24:15.699Z	485779	485150	sleep	sleep 0.2 
2026-09-14T00:24:15.901Z	485788	485150	sleep	sleep 0.2 
2026-09-14T00:24:16.104Z	485797	485150	sleep	sleep 0.2 
2026-09-14T00:24:16.306Z	485806	485150	sleep	sleep 0.2 
2026-09-14T00:24:16.508Z	485815	485150	sleep	sleep 0.2 
2026-09-14T00:24:16.710Z	485824	485150	sleep	sleep 0.2 
2026-09-14T00:24:16.912Z	485833	485150	sleep	sleep 0.2 
