first_seen	pid	ppid	comm	cmdline
2026-09-14T00:29:56.463Z	497690	495953	bash	bash /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/run.sh T-home-dummyenv probe 
2026-09-14T00:29:56.463Z	497699	497690	mitmdump	/usr/bin/python3 /usr/bin/mitmdump --listen-host 127.0.0.1 --listen-port 8081 --set confdir=/tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd
2026-09-14T00:29:56.463Z	497709	497690	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/T-hom
2026-09-14T00:29:56.463Z	497787	497709	sleep	sleep 0.2 
2026-09-14T00:29:56.463Z	497790	497690	warp-oss	/home/effatha/git/warp/target/release/warp-oss --warpctrl acp probe --command /home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88
2026-09-14T00:29:56.463Z	497791	497690	python3	python3 -u /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/ts.py 
2026-09-14T00:29:56.463Z	497792	497690	python3	python3 /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/proctree.py 497690 /tmp/claude-1000/-home-effatha-git-warp/c5
2026-09-14T00:29:56.463Z	497793	497790	MainThread	/home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@agentclientprotocol/claude-agent-acp/dist/index.js 
2026-09-14T00:29:56.665Z	497810	497709	sleep	sleep 0.2 
2026-09-14T00:29:56.868Z	497825	497793	claude	/home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@anthropic-ai/claude-agent-sdk-linux-x64/claude --output-format stream-json --verbose --input-format strea
2026-09-14T00:29:56.868Z	497840	497709	sleep	sleep 0.2 
2026-09-14T00:29:57.070Z	497867	497825	powershell.exe	/init /mnt/c/Windows/System32/WindowsPowerShell/v1.0/powershell.exe powershell.exe -NoProfile -NonInteractive -Command $env:USERPROFILE 
2026-09-14T00:29:57.070Z	497888	497709	sleep	sleep 0.2 
2026-09-14T00:29:57.070Z	497889	497825	sh	/bin/sh -c workmux set-window-status working 
