first_seen	pid	ppid	comm	cmdline
2026-09-14T00:23:19.891Z	483043	483037	bash	bash /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/run.sh T-home-mcpjson probe 
2026-09-14T00:23:19.891Z	483052	483043	mitmdump	/usr/bin/python3 /usr/bin/mitmdump --listen-host 127.0.0.1 --listen-port 8081 --set confdir=/tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd
2026-09-14T00:23:19.891Z	483062	483043	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/T-hom
2026-09-14T00:23:19.891Z	483121	483062	sleep	sleep 0.2 
2026-09-14T00:23:19.891Z	483124	483043	warp-oss	/home/effatha/git/warp/target/release/warp-oss --warpctrl acp probe --command /home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88
2026-09-14T00:23:19.891Z	483125	483043	python3	python3 -u /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/ts.py 
2026-09-14T00:23:19.891Z	483126	483043	python3	python3 /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/proctree.py 483043 /tmp/claude-1000/-home-effatha-git-warp/c5
2026-09-14T00:23:19.891Z	483127	483124	node	/home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@agentclientprotocol/claude-agent-acp/dist/index.js 
2026-09-14T00:23:20.093Z	483144	483062	sleep	sleep 0.2 
2026-09-14T00:23:20.093Z	483146	483127	reg.exe	/init /mnt/c/Windows/System32/reg.exe /mnt/c/Windows/System32/reg.exe query HKCU\SOFTWARE\Policies\ClaudeCode /v Settings 
2026-09-14T00:23:20.295Z	483161	483127	claude	/home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@anthropic-ai/claude-agent-sdk-linux-x64/claude --output-format stream-json --verbose --input-format strea
2026-09-14T00:23:20.295Z	483173	483062	sleep	sleep 0.2 
2026-09-14T00:23:20.498Z	483206	483062	sleep	sleep 0.2 
2026-09-14T00:23:20.498Z	483207	483161	powershell.exe	/init /mnt/c/Windows/System32/WindowsPowerShell/v1.0/powershell.exe powershell.exe -NoProfile -NonInteractive -Command $env:USERPROFILE 
2026-09-14T00:23:20.700Z	483256	483062	sleep	sleep 0.2 
2026-09-14T00:23:20.902Z	483266	483062	sleep	sleep 0.2 
2026-09-14T00:23:21.105Z	483275	483062	sleep	sleep 0.2 
2026-09-14T00:23:21.307Z	483297	483062	sleep	sleep 0.2 
