first_seen	pid	ppid	comm	cmdline
2026-09-14T00:28:10.009Z	494536	490649	bash	bash /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/run.sh T-home-only-disabledMcpjsonServers probe 
2026-09-14T00:28:10.009Z	494545	494536	mitmdump	/usr/bin/python3 /usr/bin/mitmdump --listen-host 127.0.0.1 --listen-port 8081 --set confdir=/tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd
2026-09-14T00:28:10.009Z	494555	494536	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/T-hom
2026-09-14T00:28:10.009Z	494614	494555	sleep	sleep 0.2 
2026-09-14T00:28:10.009Z	494617	494536	warp-oss	/home/effatha/git/warp/target/release/warp-oss --warpctrl acp probe --command /home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88
2026-09-14T00:28:10.009Z	494618	494536	python3	python3 -u /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/ts.py 
2026-09-14T00:28:10.009Z	494619	494536	python3	python3 /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/proctree.py 494536 /tmp/claude-1000/-home-effatha-git-warp/c5
2026-09-14T00:28:10.009Z	494620	494617	MainThread	/home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@agentclientprotocol/claude-agent-acp/dist/index.js 
2026-09-14T00:28:10.211Z	494637	494555	sleep	sleep 0.2 
2026-09-14T00:28:10.413Z	494652	494620	claude	/home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@anthropic-ai/claude-agent-sdk-linux-x64/claude --output-format stream-json --verbose --input-format strea
2026-09-14T00:28:10.413Z	494665	494555	sleep	sleep 0.2 
2026-09-14T00:28:10.616Z	494690	494652	powershell.exe	/init /mnt/c/Windows/System32/WindowsPowerShell/v1.0/powershell.exe powershell.exe -NoProfile -NonInteractive -Command $env:USERPROFILE 
2026-09-14T00:28:10.616Z	494711	494555	sleep	sleep 0.2 
2026-09-14T00:28:10.616Z	494712	494652	sh	/bin/sh -c workmux set-window-status working 
2026-09-14T00:28:10.819Z	494748	494555	sleep	sleep 0.2 
2026-09-14T00:28:11.021Z	494757	494555	sleep	sleep 0.2 
