first_seen	pid	ppid	comm	cmdline
2026-09-14T00:27:32.164Z	492701	490649	bash	bash /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/run.sh T-home-only-hooks probe 
2026-09-14T00:27:32.164Z	492710	492701	mitmdump	/usr/bin/python3 /usr/bin/mitmdump --listen-host 127.0.0.1 --listen-port 8081 --set confdir=/tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd
2026-09-14T00:27:32.164Z	492720	492701	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/T-hom
2026-09-14T00:27:32.164Z	492797	492720	sleep	sleep 0.2 
2026-09-14T00:27:32.164Z	492800	492701	warp-oss	/home/effatha/git/warp/target/release/warp-oss --warpctrl acp probe --command /home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88
2026-09-14T00:27:32.164Z	492801	492701	python3	python3 -u /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/ts.py 
2026-09-14T00:27:32.164Z	492802	492701	python3	python3 /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/proctree.py 492701 /tmp/claude-1000/-home-effatha-git-warp/c5
2026-09-14T00:27:32.164Z	492803	492800	MainThread	/home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@agentclientprotocol/claude-agent-acp/dist/index.js 
2026-09-14T00:27:32.366Z	492820	492720	sleep	sleep 0.2 
2026-09-14T00:27:32.568Z	492836	492803	claude	/home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@anthropic-ai/claude-agent-sdk-linux-x64/claude --output-format stream-json --verbose --input-format strea
2026-09-14T00:27:32.568Z	492852	492720	sleep	sleep 0.2 
2026-09-14T00:27:32.568Z	492856	492836	git	
2026-09-14T00:27:32.770Z	492876	492836	powershell.exe	/init /mnt/c/Windows/System32/WindowsPowerShell/v1.0/powershell.exe powershell.exe -NoProfile -NonInteractive -Command $env:USERPROFILE 
2026-09-14T00:27:32.770Z	492897	492720	sleep	sleep 0.2 
2026-09-14T00:27:32.770Z	492898	492836	sh	/bin/sh -c workmux set-window-status working 
2026-09-14T00:27:32.973Z	492934	492720	sleep	sleep 0.2 
2026-09-14T00:27:33.175Z	492943	492720	sleep	sleep 0.2 
2026-09-14T00:27:33.377Z	492945	492720	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/T-hom
2026-09-14T00:27:33.377Z	492946	492720	grep	grep -E warp-oss|remote-server|terminal-server|claude|node|MainThread|npx|rust-analyzer 
2026-09-14T00:27:33.377Z	492948	492720	awk	awk -v ts=2026-09-14T00:27:33.360Z -v n=12 -v OFS=\t {print ts,$0,n} 
2026-09-14T00:27:33.377Z	492950	492945	ss	ss -Hunp 
2026-09-14T00:27:33.377Z	492951	492945	awk	awk -v OFS=\t {print "udp",$0} 
2026-09-14T00:27:33.579Z	492952	492720	sleep	sleep 0.2 
2026-09-14T00:27:33.781Z	492961	492720	sleep	sleep 0.2 
2026-09-14T00:27:33.983Z	492970	492720	sleep	sleep 0.2 
2026-09-14T00:27:34.185Z	492979	492720	sleep	sleep 0.2 
2026-09-14T00:27:34.388Z	492988	492720	sleep	sleep 0.2 
2026-09-14T00:27:34.590Z	492997	492720	sleep	sleep 0.2 
2026-09-14T00:27:34.792Z	493006	492720	sleep	sleep 0.2 
2026-09-14T00:27:34.994Z	493015	492720	sleep	sleep 0.2 
2026-09-14T00:27:35.196Z	493042	492720	sleep	sleep 0.2 
2026-09-14T00:27:35.398Z	493052	492720	sleep	sleep 0.2 
2026-09-14T00:27:35.600Z	493054	492720	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/T-hom
2026-09-14T00:27:35.600Z	493055	492720	grep	grep -E warp-oss|remote-server|terminal-server|claude|node|MainThread|npx|rust-analyzer 
2026-09-14T00:27:35.600Z	493057	492720	awk	awk -v ts=2026-09-14T00:27:35.586Z -v n=22 -v OFS=\t {print ts,$0,n} 
2026-09-14T00:27:35.600Z	493059	493054	ss	
2026-09-14T00:27:35.600Z	493060	493054	awk	awk -v OFS=\t {print "udp",$0} 
2026-09-14T00:27:36.006Z	493070	492720	sleep	sleep 0.2 
2026-09-14T00:27:36.208Z	493079	492720	sleep	sleep 0.2 
2026-09-14T00:27:36.410Z	493088	492720	sleep	sleep 0.2 
2026-09-14T00:27:36.613Z	493097	492720	sleep	sleep 0.2 
2026-09-14T00:27:36.814Z	493106	492720	sleep	sleep 0.2 
2026-09-14T00:27:37.016Z	493115	492720	sleep	sleep 0.2 
2026-09-14T00:27:37.218Z	493124	492720	sleep	sleep 0.2 
2026-09-14T00:27:37.421Z	493133	492720	sleep	sleep 0.2 
2026-09-14T00:27:37.623Z	493142	492720	sleep	sleep 0.2 
2026-09-14T00:27:37.825Z	493144	492720	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/T-hom
2026-09-14T00:27:37.825Z	493145	492720	grep	grep -E warp-oss|remote-server|terminal-server|claude|node|MainThread|npx|rust-analyzer 
2026-09-14T00:27:37.825Z	493147	492720	awk	awk -v ts=2026-09-14T00:27:37.804Z -v n=32 -v OFS=\t {print ts,$0,n} 
2026-09-14T00:27:37.825Z	493149	493144	ss	ss -Hunp 
2026-09-14T00:27:37.825Z	493150	493144	awk	awk -v OFS=\t {print "udp",$0} 
2026-09-14T00:27:38.027Z	493151	492720	sleep	sleep 0.2 
2026-09-14T00:27:38.229Z	493160	492720	sleep	sleep 0.2 
2026-09-14T00:27:38.431Z	493169	492720	sleep	sleep 0.2 
2026-09-14T00:27:38.633Z	493178	492720	sleep	sleep 0.2 
2026-09-14T00:27:38.835Z	493187	492720	sleep	sleep 0.2 
2026-09-14T00:27:39.038Z	493196	492720	sleep	sleep 0.2 
2026-09-14T00:27:39.241Z	493205	492720	sleep	sleep 0.2 
2026-09-14T00:27:39.443Z	493214	492720	sleep	sleep 0.2 
