first_seen	pid	ppid	comm	cmdline
2026-09-14T00:27:52.412Z	493628	490649	bash	bash /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/run.sh T-home-only-permissions probe 
2026-09-14T00:27:52.412Z	493637	493628	mitmdump	/usr/bin/python3 /usr/bin/mitmdump --listen-host 127.0.0.1 --listen-port 8081 --set confdir=/tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd
2026-09-14T00:27:52.412Z	493647	493628	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/T-hom
2026-09-14T00:27:52.412Z	493706	493647	sleep	sleep 0.2 
2026-09-14T00:27:52.412Z	493709	493628	warp-oss	/home/effatha/git/warp/target/release/warp-oss --warpctrl acp probe --command /home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88
2026-09-14T00:27:52.412Z	493710	493628	python3	python3 -u /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/ts.py 
2026-09-14T00:27:52.412Z	493711	493628	python3	python3 /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/proctree.py 493628 /tmp/claude-1000/-home-effatha-git-warp/c5
2026-09-14T00:27:52.412Z	493712	493709	MainThread	/home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@agentclientprotocol/claude-agent-acp/dist/index.js 
2026-09-14T00:27:52.614Z	493729	493647	sleep	sleep 0.2 
2026-09-14T00:27:52.816Z	493745	493712	claude	/home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@anthropic-ai/claude-agent-sdk-linux-x64/claude --output-format stream-json --verbose --input-format strea
2026-09-14T00:27:52.816Z	493763	493647	sleep	sleep 0.2 
2026-09-14T00:27:52.816Z	493767	493745	git	
2026-09-14T00:27:53.018Z	493786	493745	powershell.exe	/init /mnt/c/Windows/System32/WindowsPowerShell/v1.0/powershell.exe powershell.exe -NoProfile -NonInteractive -Command $env:USERPROFILE 
2026-09-14T00:27:53.018Z	493805	493745	sh	/bin/sh -c workmux set-window-status working 
2026-09-14T00:27:53.018Z	493812	493647	sleep	sleep 0.2 
2026-09-14T00:27:53.221Z	493845	493647	sleep	sleep 0.2 
2026-09-14T00:27:53.424Z	493854	493647	sleep	sleep 0.2 
2026-09-14T00:27:53.626Z	493856	493647	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/T-hom
2026-09-14T00:27:53.626Z	493857	493647	grep	grep -E warp-oss|remote-server|terminal-server|claude|node|MainThread|npx|rust-analyzer 
2026-09-14T00:27:53.626Z	493858	493647	awk	awk -v ts=2026-09-14T00:27:53.614Z -v n=12 -v OFS=\t {print ts,$0,n} 
2026-09-14T00:27:53.626Z	493859	493856	ss	ss -Htnp state all 
2026-09-14T00:27:53.626Z	493860	493856	awk	awk -v OFS=\t {print "tcp",$0} 
2026-09-14T00:27:53.828Z	493863	493647	sleep	sleep 0.2 
2026-09-14T00:27:54.030Z	493872	493647	sleep	sleep 0.2 
2026-09-14T00:27:54.233Z	493881	493647	sleep	sleep 0.2 
2026-09-14T00:27:54.434Z	493890	493647	sleep	sleep 0.2 
2026-09-14T00:27:54.638Z	493899	493647	sleep	sleep 0.2 
2026-09-14T00:27:54.840Z	493908	493647	sleep	sleep 0.2 
2026-09-14T00:27:55.042Z	493917	493647	sleep	sleep 0.2 
2026-09-14T00:27:55.244Z	493926	493647	sleep	sleep 0.2 
2026-09-14T00:27:55.447Z	493935	493647	sleep	sleep 0.2 
2026-09-14T00:27:55.649Z	493944	493647	sleep	sleep 0.2 
2026-09-14T00:27:56.053Z	493955	493647	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/T-hom
2026-09-14T00:27:56.053Z	493956	493647	grep	grep -E warp-oss|remote-server|terminal-server|claude|node|MainThread|npx|rust-analyzer 
2026-09-14T00:27:56.053Z	493957	493955	ss	ss -Htnp state all 
2026-09-14T00:27:56.053Z	493958	493647	awk	awk -v ts=2026-09-14T00:27:56.051Z -v n=23 -v OFS=\t {print ts,$0,n} 
2026-09-14T00:27:56.053Z	493959	493955	awk	awk -v OFS=\t {print "tcp",$0} 
2026-09-14T00:27:56.255Z	493962	493647	sleep	sleep 0.2 
2026-09-14T00:27:56.457Z	493971	493647	sleep	sleep 0.2 
2026-09-14T00:27:56.659Z	493980	493647	sleep	sleep 0.2 
2026-09-14T00:27:56.861Z	493989	493647	sleep	sleep 0.2 
2026-09-14T00:27:57.063Z	493998	493647	sleep	sleep 0.2 
2026-09-14T00:27:57.265Z	494007	493647	sleep	sleep 0.2 
2026-09-14T00:27:57.467Z	494016	493647	sleep	sleep 0.2 
2026-09-14T00:27:57.668Z	494044	493647	sleep	sleep 0.2 
2026-09-14T00:27:57.870Z	494053	493647	sleep	sleep 0.2 
2026-09-14T00:27:58.072Z	494055	493647	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/T-hom
2026-09-14T00:27:58.072Z	494056	493647	grep	grep -E warp-oss|remote-server|terminal-server|claude|node|MainThread|npx|rust-analyzer 
2026-09-14T00:27:58.072Z	494058	493647	awk	awk -v ts=2026-09-14T00:27:58.049Z -v n=32 -v OFS=\t {print ts,$0,n} 
2026-09-14T00:27:58.476Z	494071	493647	sleep	sleep 0.2 
2026-09-14T00:27:58.678Z	494080	493647	sleep	sleep 0.2 
2026-09-14T00:27:58.880Z	494089	493647	sleep	sleep 0.2 
2026-09-14T00:27:59.082Z	494098	493647	sleep	sleep 0.2 
2026-09-14T00:27:59.284Z	494107	493647	sleep	sleep 0.2 
2026-09-14T00:27:59.486Z	494116	493647	sleep	sleep 0.2 
2026-09-14T00:27:59.688Z	494125	493647	sleep	sleep 0.2 
2026-09-14T00:27:59.890Z	494134	493647	sleep	sleep 0.2 
2026-09-14T00:28:00.092Z	494143	493647	sleep	sleep 0.2 
2026-09-14T00:28:00.294Z	494145	493647	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/T-hom
2026-09-14T00:28:00.294Z	494146	493647	grep	grep -E warp-oss|remote-server|terminal-server|claude|node|MainThread|npx|rust-analyzer 
2026-09-14T00:28:00.294Z	494148	493647	awk	awk -v ts=2026-09-14T00:28:00.272Z -v n=42 -v OFS=\t {print ts,$0,n} 
2026-09-14T00:28:00.294Z	494150	494145	ss	ss -Hunp 
2026-09-14T00:28:00.294Z	494151	494145	awk	awk -v OFS=\t {print "udp",$0} 
2026-09-14T00:28:00.698Z	494161	493647	sleep	sleep 0.2 
2026-09-14T00:28:00.900Z	494170	493647	sleep	sleep 0.2 
2026-09-14T00:28:01.103Z	494182	493647	sleep	sleep 0.2 
2026-09-14T00:28:01.304Z	494191	493647	sleep	sleep 0.2 
2026-09-14T00:28:01.506Z	494200	493647	sleep	sleep 0.2 
2026-09-14T00:28:01.708Z	494209	493647	sleep	sleep 0.2 
2026-09-14T00:28:01.910Z	494218	493647	sleep	sleep 0.2 
2026-09-14T00:28:02.112Z	494227	493647	sleep	sleep 0.2 
2026-09-14T00:28:02.314Z	494240	493628	sleep	sleep 3 
2026-09-14T00:28:02.314Z	494249	493647	sleep	sleep 0.2 
2026-09-14T00:28:02.920Z	494267	493647	sleep	sleep 0.2 
2026-09-14T00:28:03.122Z	494276	493647	sleep	sleep 0.2 
2026-09-14T00:28:03.324Z	494285	493647	sleep	sleep 0.2 
2026-09-14T00:28:03.526Z	494295	493647	sleep	sleep 0.2 
2026-09-14T00:28:03.728Z	494304	493647	sleep	sleep 0.2 
2026-09-14T00:28:03.930Z	494313	493647	sleep	sleep 0.2 
2026-09-14T00:28:04.132Z	494322	493647	sleep	sleep 0.2 
2026-09-14T00:28:04.333Z	494349	493647	sleep	sleep 0.2 
2026-09-14T00:28:04.535Z	494358	493647	sleep	sleep 0.2 
2026-09-14T00:28:04.737Z	494367	493647	sleep	sleep 0.2 
2026-09-14T00:28:04.939Z	494369	493647	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/T-hom
2026-09-14T00:28:04.939Z	494370	493647	grep	grep -E warp-oss|remote-server|terminal-server|claude|node|MainThread|npx|rust-analyzer 
2026-09-14T00:28:04.939Z	494371	494369	ss	ss -Htnp state all 
2026-09-14T00:28:04.939Z	494372	493647	awk	awk -v ts=2026-09-14T00:28:04.937Z -v n=63 -v OFS=\t {print ts,$0,n} 
2026-09-14T00:28:04.939Z	494373	494369	awk	awk -v OFS=\t {print "tcp",$0} 
2026-09-14T00:28:05.141Z	494376	493647	sleep	sleep 0.2 
2026-09-14T00:28:05.343Z	494385	493647	sleep	sleep 0.2 
2026-09-14T00:28:05.343Z	494386	493628	MainThread	/home/effatha/.nvm/versions/node/v24.5.0/bin/node -e require("https").get("https://example.com",r=>{r.resume();r.on("end",()=>setTimeout(()=>process.exit(0),800
2026-09-14T00:28:05.544Z	494405	493647	sleep	sleep 0.2 
2026-09-14T00:28:05.746Z	494414	493647	sleep	sleep 0.2 
2026-09-14T00:28:05.948Z	494423	493647	sleep	sleep 0.2 
2026-09-14T00:28:06.150Z	494432	493647	sleep	sleep 0.2 
2026-09-14T00:28:06.352Z	494441	493647	sleep	sleep 0.2 
2026-09-14T00:28:06.352Z	494443	493628	sleep	sleep 1.5 
2026-09-14T00:28:06.554Z	494452	493647	sleep	sleep 0.2 
2026-09-14T00:28:06.756Z	494461	493647	sleep	sleep 0.2 
2026-09-14T00:28:06.958Z	494464	493647	grep	grep -E warp-oss|remote-server|terminal-server|claude|node|MainThread|npx|rust-analyzer 
2026-09-14T00:28:06.958Z	494466	493647	awk	awk -v ts=2026-09-14T00:28:06.934Z -v n=72 -v OFS=\t {print ts,$0,n} 
2026-09-14T00:28:07.362Z	494479	493647	sleep	sleep 0.2 
2026-09-14T00:28:07.564Z	494489	493647	sleep	sleep 0.2 
2026-09-14T00:28:07.766Z	494518	493647	sleep	sleep 0.2 
