first_seen	pid	ppid	comm	cmdline
2026-09-14T00:16:31.033Z	469552	469550	bash	bash /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/run.sh T-untrusted-git probe 
2026-09-14T00:16:31.033Z	469561	469552	mitmdump	/usr/bin/python3 /usr/bin/mitmdump --listen-host 127.0.0.1 --listen-port 8081 --set confdir=/tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd
2026-09-14T00:16:31.033Z	469571	469552	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/T-unt
2026-09-14T00:16:31.033Z	469630	469571	sleep	sleep 0.2 
2026-09-14T00:16:31.033Z	469633	469552	warp-oss	/home/effatha/git/warp/target/release/warp-oss --warpctrl acp probe --command /home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88
2026-09-14T00:16:31.033Z	469634	469552	python3	python3 -u /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/ts.py 
2026-09-14T00:16:31.033Z	469635	469552	python3	python3 /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/proctree.py 469552 /tmp/claude-1000/-home-effatha-git-warp/c5
2026-09-14T00:16:31.033Z	469636	469633	node	/home/effatha/.nvm/versions/node/v24.5.0/bin/node /home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@agentclientprotocol/claude-agent-acp/dist/index.js 
2026-09-14T00:16:31.235Z	469653	469571	sleep	sleep 0.2 
2026-09-14T00:16:31.235Z	469655	469636	reg.exe	/init /mnt/c/Windows/System32/reg.exe /mnt/c/Windows/System32/reg.exe query HKCU\SOFTWARE\Policies\ClaudeCode /v Settings 
2026-09-14T00:16:31.438Z	469674	469636	claude	/home/effatha/.npm/_npx/6130df88bef2cca3/node_modules/@anthropic-ai/claude-agent-sdk-linux-x64/claude --output-format stream-json --verbose --input-format strea
2026-09-14T00:16:31.438Z	469677	469571	sleep	sleep 0.2 
2026-09-14T00:16:31.641Z	469705	469571	sleep	sleep 0.2 
2026-09-14T00:16:31.641Z	469721	469674	powershell.exe	/init /mnt/c/Windows/System32/WindowsPowerShell/v1.0/powershell.exe powershell.exe -NoProfile -NonInteractive -Command $env:USERPROFILE 
2026-09-14T00:16:31.843Z	469771	469571	sleep	sleep 0.2 
2026-09-14T00:16:32.045Z	469781	469571	sleep	sleep 0.2 
2026-09-14T00:16:32.248Z	469790	469571	sleep	sleep 0.2 
2026-09-14T00:16:32.450Z	469848	469571	sleep	sleep 0.2 
2026-09-14T00:16:32.653Z	469850	469571	bash	bash /home/effatha/git/warp/.fork/tools/egress-poll-wsl.sh /tmp/claude-1000/-home-effatha-git-warp/c5e29190-ea8b-4e54-b962-05dd165cb7cc/scratchpad/vc/runs/T-unt
2026-09-14T00:16:32.653Z	469851	469571	grep	grep -E warp-oss|remote-server|terminal-server|claude|node|MainThread|npx|rust-analyzer 
2026-09-14T00:16:32.653Z	469853	469571	awk	awk -v ts=2026-09-14T00:16:32.637Z -v n=14 -v OFS=\t {print ts,$0,n} 
2026-09-14T00:16:32.653Z	469855	469850	ss	ss -Hunp 
2026-09-14T00:16:32.653Z	469856	469850	awk	awk -v OFS=\t {print "udp",$0} 
2026-09-14T00:16:32.855Z	469857	469571	sleep	sleep 0.2 
2026-09-14T00:16:33.057Z	469866	469571	sleep	sleep 0.2 
2026-09-14T00:16:33.260Z	469875	469571	sleep	sleep 0.2 
2026-09-14T00:16:33.462Z	469884	469571	sleep	sleep 0.2 
2026-09-14T00:16:33.664Z	469893	469571	sleep	sleep 0.2 
